,종목명,2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G,업종명,2014_종가,2015_종가,등락률,연도
0,AK홀딩스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기타금융,71200,86000,0.20786516853932585,"14,15년"
1,BYC,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,섬유의복,283500,399000,0.4074074074074074,"14,15년"
2,CJ,2.0,4.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,기타금융,174000,240000,0.3793103448275862,"14,15년"
3,CJ CGV,1.0,3.0,1.5,2.0,1.5,1.5,1.0,-1.5,0.0,서비스업,52400,104000,0.9847328244274809,"14,15년"
4,CJ대한통운,3.0,4.0,3.0,3.0,3.0,3.0,0.0,-1.0,0.0,운수창고업,193000,195000,0.010362694300518135,"14,15년"
5,CJ씨푸드,2.0,1.5,1.5,2.0,1.5,3.0,0.0,0.0,1.5,음식료품,2560,3655,0.427734375,"14,15년"
6,CJ제일제당,2.0,4.0,4.0,2.0,3.0,4.0,0.0,-1.0,0.0,음식료품,391000,350000,-0.10485933503836317,"14,15년"
7,CS홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,기타금융,74300,79900,0.07537012113055182,"14,15년"
8,DGB금융지주,4.0,4.0,4.0,5.0,3.0,4.0,1.0,-1.0,0.0,기타금융,15250,10600,-0.30491803278688523,"14,15년"
9,DRB동일,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,화학,16400,14650,-0.10670731707317073,"14,15년"
10,DSR제강,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,철강금속,3450,4085,0.18405797101449275,"14,15년"
11,E1,3.0,1.5,1.5,2.0,3.0,1.5,-1.0,1.5,0.0,유통업,71700,69000,-0.03765690376569038,"14,15년"
12,F&F,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,섬유의복,14850,19900,0.3400673400673401,"14,15년"
13,GKL,2.0,1.5,1.5,3.0,3.0,1.5,1.0,1.5,0.0,서비스업,38250,31800,-0.16862745098039217,"14,15년"
14,GS,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,기타금융,41450,50200,0.21109770808202655,"14,15년"
15,GS건설,3.0,4.0,4.0,2.0,4.0,4.0,-1.0,0.0,0.0,건설업,28100,23300,-0.1708185053380783,"14,15년"
16,GS글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,8870,6200,-0.30101465614430667,"14,15년"
17,GS리테일,3.0,1.5,3.0,2.0,1.5,1.5,-1.0,0.0,-1.5,유통업,24900,57600,1.3132530120481927,"14,15년"
18,JW중외제약,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,의약품,14800,34900,1.3581081081081081,"14,15년"
19,JW홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,2395,8580,2.5824634655532357,"14,15년"
20,KB금융,4.0,3.0,4.0,4.0,3.0,3.0,0.0,0.0,-1.0,기타금융,42000,36150,-0.1392857142857143,"14,15년"
21,KC그린홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,10350,9690,-0.06376811594202898,"14,15년"
22,KC코트렐,2.0,1.5,3.0,2.0,1.5,1.5,0.0,0.0,-1.5,기계,5820,7900,0.35738831615120276,"14,15년"
23,KEC,2.0,1.5,3.0,1.0,1.5,3.0,-1.0,0.0,0.0,전기전자,1810,1140,-0.3701657458563536,"14,15년"
