종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","2340","125","5.64","108275340420"
"054620","APS홀딩스","KOSDAQ","금융","9360","160","1.74","190889908560"
"265520","AP시스템","KOSDAQ","반도체","17050","1150","7.23","260548228050"
"211270","AP위성","KOSDAQ","통신장비","8940","240","2.76","134835797760"
"032790","BNGT","KOSDAQ","정보기기","4075","0","0.00","120352455875"
"013720","CBI","KOSDAQ","운송장비·부품","273","14","5.41","73803007278"
"035760","CJ ENM","KOSDAQ","방송서비스","78000","1900","2.50","1710474012000"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","25800","-150","-0.58","151669737600"
"051500","CJ프레시웨이","KOSDAQ","유통","34750","-350","-1.00","412537613500"
"058820","CMG제약","KOSDAQ","제약","2315","70","3.12","321535544860"
"023460","CNH","KOSDAQ","금융","2425","30","1.25","90210000000"
"056730","CNT85","KOSDAQ","건설","3100","0","0.00","110449763600"
"065770","CS","KOSDAQ","통신장비","1480","60","4.23","28728472400"
"083660","CSA 코스믹","KOSDAQ","화학","1050","45","4.48","41423752650"
"404950","DB금융스팩10호","KOSDAQ","금융","2110","5","0.24","12322400000"
"367340","DB금융스팩8호","KOSDAQ","금융","2135","-5","-0.23","12916750000"
"367360","DB금융스팩9호","KOSDAQ","금융","2125","0","0.00","10285000000"
"068790","DMS","KOSDAQ","기계·장비","4715","175","3.85","115861982615"
"241520","DSC인베스트먼트","KOSDAQ","금융","3795","80","2.15","105544274385"
"245620","EDGC","KOSDAQ","기타서비스","1850","15","0.82","155540472350"
"037370","EG","KOSDAQ","건설","7480","240","3.31","64514790560"
"050120","ES큐브","KOSDAQ","유통","4530","515","12.83","61445309580"
"084180","EV수성","KOSDAQ","기계·장비","1480","5","0.34","92760161800"
"214270","FSN","KOSDAQ","출판·매체복제","3385","95","2.89","94456908520"
"130500","GH신소재","KOSDAQ","섬유·의류","3455","150","4.54","50253154660"
"900290","GRT","KOSDAQ","금융","2775","-40","-1.42","186965625000"
"083450","GST","KOSDAQ","반도체","19600","1000","5.38","182627802000"
"297890","HB솔루션","KOSDAQ","기계·장비","14200","850","6.37","237425320600"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1840","35","1.94","145342383840"
"195940","HK이노엔","KOSDAQ","제약","33750","800","2.43","975526841250"
"028300","HLB","KOSDAQ","운송장비·부품","44850","2000","4.67","4794621122850"
"067630","HLB생명과학","KOSDAQ","기타서비스","13450","650","5.08","1299766695050"
"047920","HLB제약","KOSDAQ","기타서비스","15800","800","5.33","440364170000"
"115450","HLB테라퓨틱스","KOSDAQ","유통","14950","700","4.91","468461404450"
"403870","HPSP","KOSDAQ","반도체","59400","4200","7.61","1185005943000"
"036640","HRS","KOSDAQ","화학","5500","380","7.42","89951400000"
"335870","IBKS제12호스팩","KOSDAQ","금융","7150","-3000","-29.56","22308000000"
"351340","IBKS제13호스팩","KOSDAQ","금융","1925","0","0.00","9952250000"
"388790","IBKS제16호스팩","KOSDAQ","금융","2225","0","0.00","7587250000"
"405350","IBKS제17호스팩","KOSDAQ","금융","2410","5","0.21","6555200000"
"424760","IBKS제18호스팩","KOSDAQ","금융","2190","25","1.15","9263700000"
"426550","IBKS제19호스팩","KOSDAQ","금융","2190","-35","-1.57","11125200000"
"095340","ISC","KOSDAQ","반도체","33900","1700","5.28","589842066900"
"099520","ITX-AI","KOSDAQ","통신장비","1285","0","0.00","37652662655"
"950170","JTC","KOSDAQ","유통","3470","-30","-0.86","121469143990"
"067290","JW신약","KOSDAQ","제약","3475","235","7.25","160292843575"
"035900","JYP Ent.","KOSDAQ","오락·문화","59600","800","1.36","2115650523200"
"318000","KBG","KOSDAQ","화학","7050","890","14.45","58020266250"
"024840","KBI메탈","KOSDAQ","금속","1405","55","4.07","46295941440"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3815","215","5.97","43872500000"
"021320","KCC건설","KOSDAQ","건설","5650","100","1.80","120910000000"
"036670","KCI","KOSDAQ","화학","8420","100","1.20","94893400000"
"044180","KD","KOSDAQ","건설","756","7","0.93","18785572596"
"151860","KG ETS","KOSDAQ","기타서비스","9740","320","3.40","350640000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","5730","210","3.80","222470504640"
"035600","KG이니시스","KOSDAQ","소프트웨어","12200","400","3.39","340434094800"
"226360","KH 건설","KOSDAQ","건설","511","19","3.86","63170091341"
"111870","KH 전자","KOSDAQ","일반전기전자","320","9","2.89","51187143040"
"060720","KH바텍","KOSDAQ","IT부품","13450","600","4.67","318461594900"
"058400","KNN","KOSDAQ","방송서비스","886","6","0.68","117332731920"
"114450","KPX생명과학","KOSDAQ","제약","4155","10","0.24","62325000000"
"060370","KT서브마린","KOSDAQ","건설","6340","40","0.63","138846000000"
"122450","KX","KOSDAQ","방송서비스","6130","190","3.20","277909459320"
"052900","KX하이텍","KOSDAQ","반도체","1255","70","5.91","64793197730"
"108320","LX세미콘","KOSDAQ","반도체","82300","6300","8.29","1338551890000"
"086960","MDS테크","KOSDAQ","소프트웨어","15650","2650","20.38","139169315200"
"160550","NEW","KOSDAQ","오락·문화","5710","130","2.33","159343865260"
"053290","NE능률","KOSDAQ","출판·매체복제","4060","160","4.10","67096806420"
"104200","NHN벅스","KOSDAQ","디지털컨텐츠","6340","120","1.93","94006667000"
"060250","NHN한국사이버결제","KOSDAQ","소프트웨어","11300","200","1.80","453814904300"
"030190","NICE평가정보","KOSDAQ","기타서비스","14150","750","5.60","859114703000"
"024940","PN풍년","KOSDAQ","유통","5080","160","3.25","50800000000"
"218410","RFHIC","KOSDAQ","일반전기전자","21050","800","3.95","563854435700"
"327260","RF머트리얼즈","KOSDAQ","기타제조","10550","450","4.46","86485703350"
"091340","S&K폴리텍","KOSDAQ","IT부품","3480","120","3.57","40728949080"
"019550","SBI인베스트먼트","KOSDAQ","금융","1105","45","4.25","179083565375"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","4250","45","1.07","102223295000"
"046140","SBS콘텐츠허브","KOSDAQ","오락·문화","5940","210","3.66","127493516700"
"151910","SBW생명과학","KOSDAQ","IT부품","1725","0","0.00","305556353550"
"036120","SCI평가정보","KOSDAQ","기타서비스","4075","0","0.00","144662500000"
"099220","SDN","KOSDAQ","유통","2220","100","4.72","124701420420"
"036540","SFA반도체","KOSDAQ","반도체","4410","250","6.01","725269936230"
"255220","SG","KOSDAQ","비금속","1245","65","5.51","55722077805"
"040610","SG&G","KOSDAQ","운송","1580","65","4.29","53857769680"
"049470","SGA","KOSDAQ","소프트웨어","711","22","3.19","41851059039"
"184230","SGA솔루션즈","KOSDAQ","소프트웨어","783","21","2.76","42428596392"
"016250","SGC이테크건설","KOSDAQ","건설","39200","350","0.90","101898244000"
"337450","SK5호스팩","KOSDAQ","금융","3200","0","0.00","13792000000"
"340350","SK6호스팩","KOSDAQ","금융","2010","0","0.00","11477100000"
"048550","SM C&C","KOSDAQ","방송서비스","3165","65","2.10","302653504800"
"063440","SM Life Design","KOSDAQ","출판·매체복제","2145","5","0.23","98089035330"
"289080","SV인베스트먼트","KOSDAQ","금융","2255","105","4.88","120042670000"
"089230","THE E&M","KOSDAQ","인터넷","374","15","4.18","64870371434"
"161570","THE MIDONG","KOSDAQ","정보기기","970","-2","-0.21","15115345100"
"032540","TJ미디어","KOSDAQ","일반전기전자","5380","180","3.46","74952056420"
"022220","TKG애강","KOSDAQ","화학","1470","55","3.89","76138031130"
"048770","TPC","KOSDAQ","기계·장비","3635","180","5.21","56263762265"
"246690","TS인베스트먼트","KOSDAQ","금융","1795","45","2.57","70446352805"
"317240","TS트릴리온","KOSDAQ","화학","710","19","2.75","67057813750"
"038340","UCI","KOSDAQ","일반전기전자","1335","0","0.00","16641828315"
"073570","WI","KOSDAQ","기타제조","3040","700","29.91","245950813920"
"057030","YBM넷","KOSDAQ","기타서비스","3575","170","4.99","58317891775"
"040300","YTN","KOSDAQ","방송서비스","6930","170","2.51","291060000000"
"051390","YW","KOSDAQ","유통","3210","30","0.94","36450731280"
"052220","iMBC","KOSDAQ","디지털컨텐츠","4520","10","0.22","103960000000"
"079940","가비아","KOSDAQ","인터넷","9990","290","2.99","135221483160"
"078890","가온미디어","KOSDAQ","통신장비","6370","170","2.74","102910923570"
"399720","가온칩스","KOSDAQ","반도체","28150","3850","15.84","323396208000"
"036620","감성코퍼레이션","KOSDAQ","유통","1585","75","4.97","142005819545"
"217730","강스템바이오텍","KOSDAQ","제약","2915","160","5.81","110589051375"
"114190","강원에너지","KOSDAQ","금속","7460","-70","-0.93","194877863480"
"094480","갤럭시아머니트리","KOSDAQ","소프트웨어","5100","200","4.08","200072173800"
"039240","경남스틸","KOSDAQ","금속","3150","170","5.70","84985752600"
"053950","경남제약","KOSDAQ","제약","1970","50","2.60","60773643050"
"011040","경동제약","KOSDAQ","제약","7330","170","2.37","225535054780"
"024910","경창산업","KOSDAQ","운송장비·부품","1935","65","3.48","69309774675"
"198440","고려시멘트","KOSDAQ","비금속","2640","100","3.94","84427094400"
"049720","고려신용정보","KOSDAQ","기타서비스","12850","-500","-3.75","183755000000"
"014570","고려제약","KOSDAQ","제약","7320","220","3.10","80520000000"
"348150","고바이오랩","KOSDAQ","기타서비스","11150","400","3.72","189890621350"
"098460","고영","KOSDAQ","기계·장비","13500","800","6.30","926839192500"
"035290","골드앤에스","KOSDAQ","출판·매체복제","3200","0","0.00","115916512000"
"038530","골드퍼시픽","KOSDAQ","유통","487","13","2.74","44812001897"
"900280","골든센츄리","KOSDAQ","금융","394","2","0.51","80929289472"
"215000","골프존","KOSDAQ","소프트웨어","112800","4700","4.35","707866812000"
"121440","골프존뉴딘홀딩스","KOSDAQ","유통","5590","50","0.90","239457812620"
"366030","공구우먼","KOSDAQ","유통","7820","270","3.58","172294932000"
"014200","광림","KOSDAQ","운송장비·부품","1365","0","0.00","123814640040"
"029480","광무","KOSDAQ","통신장비","3330","5","0.15","109381402440"
"026910","광진실업","KOSDAQ","금속","5080","-150","-2.87","32539457400"
"355150","교보10호스팩","KOSDAQ","금융","2400","0","0.00","12768000000"
"397880","교보11호스팩","KOSDAQ","금융","2140","-10","-0.47","9501600000"
"421800","교보12호스팩","KOSDAQ","금융","2110","-5","-0.24","12617800000"
"331520","교보9호스팩","KOSDAQ","금융","2080","70","3.48","8070400000"
"053270","구영테크","KOSDAQ","운송장비·부품","2665","135","5.34","70340473710"
