회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)BNK금융지주,138930,2017/12,5868328826,26.96,21.23,78.77,42.36,192132861,0,0,0,134248260
(주)DB하이텍,000990,2017/12,977575054,121.4,54.83,45.17,-12.08,182244045,0,0,142353689,142353689
(주)HJ중공업,097230,2017/12,3312303000,487.9,82.99,17.01,-9.91,368798000,8674000,0,86683000,86683000
(주)JB금융지주,175330,2017/12,1964715000,31.92,24.2,75.8,49.22,94490000,0,0,0,60598000
(주)KB금융지주,105560,2017/12,25102834000,31.25,23.81,76.19,2.72,570143000,0,0,0,547778000
(주)MH에탄올,023150,2017/12,107437079,66.06,39.78,60.22,-1.28,10755779,0,0,10452914,10452914
(주)SH에너지화학,002360,2017/12,123261552,16.59,14.23,85.77,-13.86,16292838,0,0,13189274,13189274
(주)SIMPAC,009160,2017/12,343005145,53.28,34.76,65.24,-5.88,-13628628,0,0,13971089,13971089
(주)SNT에너지,100840,2017/12,300266693,28.42,22.13,77.87,-27.55,-5579426,0,0,19201911,19201911
(주)SNT홀딩스,036530,2017/12,425435423,0.07,0.07,99.93,-24.45,6184231,0,0,5401909,5401909
(주)STX,011810,2017/12,520393000,1063.93,91.41,8.59,8.87,93844000,0,0,30170000,30170000
(주)TCC스틸,002710,2017/12,248896237,177.7,63.99,36.01,5.21,-7248002,0,0,6759804,6759804
(주)강원랜드,035250,2017/12,4182527382,19.47,16.3,83.7,-5.41,465968987,0,20689128,535824585,535824585
(주)갤럭시아에스엠,011420,2017/12,48958128,20.9,17.29,82.71,-19.16,-7384193,0,0,-3330404,-3330404
(주)경농,002100,2017/12,268967010,47.01,31.98,68.02,-0.02,14393946,0,4736642,9079453,9079453
(주)경동나비엔,009450,2017/12,391400492,76.28,43.27,56.73,12.59,13453817,9126895,15987837,32019764,32019764
(주)경동도시가스,267290,2017/12,707917077,,,,,18774744,0,0,21529500,21529500
(주)경동인베스트,012320,2017/12,318031347,2.66,2.59,97.41,-99.94,49566809,0,0,-2256859,-2256859
