기업명,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_-,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_B이하,ESG_C,ESG_D,E_-,E_A,E_A+,E_B,E_B+,E_B+ 이하,E_C,E_D,S_-,S_A,S_A+,S_B,S_B+,S_B이하,S_C,S_D,G_-,G_A,G_A+,G_B,G_B+,G_B이하,G_C,G_D,배당률
AJ네트웍스,서비스업,2022,1481445372000.0,309.37,24.43,17.69,-0.0048662800226722,0.8999999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
BNK금융지주,기타금융,2022,6915786818000.0,29.33,77.32,36.67,0.0412834480948632,0.475,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,일반배당기업
CS홀딩스,기타금융,2022,364121571000.0,10.2,90.75,10.22,0.0159566532447407,0.4649999999999999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,일반배당기업
DB금융투자,증권,2022,7096049373000.0,747.4,11.8,-15.51,0.0925039034973566,0.285,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,일반배당기업
DB손해보험,보험,2022,50491197385000.0,899.79,10.0,9.87,0.0894418282317292,0.95,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,고배당기업
DB하이텍,전기전자,2022,2122700475000.0,29.57,77.18,37.92,0.4348579358556846,1.71,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,일반배당기업
JB금융지주,기타금융,2022,3090423000000.0,36.39,73.32,132.74,0.0839450621438621,0.74,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,일반배당기업
KISCO홀딩스,철강금속,2022,1735936558000.0,16.02,86.19,14.53,0.0039257186649656,0.515,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,일반배당기업
LG이노텍,전기전자,2022,9793617826000.0,129.58,43.56,31.07,0.0571133964998244,2.41,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,고배당기업
MH에탄올,음식료품,2022,447440404000.0,369.03,21.32,8.48,-0.0076581792363933,1.28,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,일반배당기업
OCI,화학,2022,6745534254000.0,68.16,59.47,44.0,0.0263032924037962,1.075,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,일반배당기업
SH에너지화학,화학,2022,124160292000.0,31.94,75.79,19.71,-0.0194429983411099,1.585,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
SIMPAC,기계,2022,965098439000.0,60.93,62.14,9.66,0.0340784759070533,0.8899999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,일반배당기업
SK이노베이션,화학,2022,67218924277000.0,189.21,34.58,66.64,0.0068505829946897,1.33,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,고배당기업
SNT모티브,운수장비,2022,1225486690000.0,39.41,71.73,10.95,0.0996710383218762,0.77,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,일반배당기업
SNT에너지,기계,2022,429772702000.0,68.25,59.43,18.58,0.095313382801496,0.64,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,고배당기업
SNT홀딩스,기타금융,2022,2558426987000.0,40.86,70.99,16.06,0.0117794394079351,0.6699999999999999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,고배당기업
STX,유통업,2022,741784000000.0,624.35,13.81,28.42,-0.0106303767116084,3.95,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
STX엔진,기계,2022,853387673000.0,227.92,30.5,10.25,0.0438631074149774,1.63,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,무배당기업
STX중공업,기계,2022,416290994000.0,116.66,46.15,9.45,-0.10348568637742,0.87,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,무배당기업
TCC스틸,철강금속,2022,507482317000.0,143.04,41.15,27.53,-0.0171882342474353,1.695,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,일반배당기업
가온전선,전기전자,2022,752332445000.0,148.24,40.28,32.33,0.0170899705148574,0.32,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
강남제비스코,화학,2022,957791315000.0,41.09,70.88,13.91,-0.0239744290305917,0.575,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,고배당기업
강원랜드,서비스업,2022,4167752671000.0,22.03,81.95,61.17,0.3304320609562103,1.645,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,고배당기업
갤럭시아에스엠,서비스업,2022,57863012000.0,73.59,57.61,4.13,0.0289645573487475,1.975,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,무배당기업
경농,화학,2022,448632689000.0,72.23,58.06,33.79,0.0733427422667024,1.075,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,고배당기업
경동나비엔,전기전자,2022,1018019428000.0,96.64,50.85,5.25,0.0245481622516926,1.86,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,고배당기업
경동도시가스,전기가스업,2022,1067615033000.0,170.29,37.0,58.18,0.0226669767709555,0.4449999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,일반배당기업
