기업명,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_-,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_B이하,ESG_C,ESG_D,E_-,E_A,E_A+,E_B,E_B+,E_B+ 이하,E_C,E_D,S_-,S_A,S_A+,S_B,S_B+,S_B이하,S_C,S_D,G_-,G_A,G_A+,G_B,G_B+,G_B이하,G_C,G_D,배당기업구분
CS홀딩스,서비스업,2011,25.963707550735442,-0.3671851615284069,1.539084560221516,0.01627338027289275,0.1256719934327506,-0.7534738677346875,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
KISCO홀딩스,서비스업,2011,27.382215937274538,-0.37155455571574025,1.6001179202653546,-0.021487184593367365,0.05101384678573725,-0.7945311505894221,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,중배당기업
LG이노텍,전기전자,2011,29.114888255245422,0.17753264715915185,-1.0797590795221226,-0.013112623704904272,0.0932152912765403,0.11188732474202513,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,무배당기업
MH에탄올,음식료품,2011,25.622648110851593,0.13150333942707107,-0.9982259649597428,-0.05752180949157506,-0.19876864744896425,-0.7724233828984113,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
OCI,화학,2011,29.60579816994464,-0.17199377636667013,-0.07387339757824851,0.013541892671279341,1.3463639429292085,0.9109252141457056,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,중배당기업
SH에너지화학,화학,2011,25.37446752835862,-0.2553136034561649,0.42371155300816066,-0.00704932155626791,-0.05446007657269288,-0.6366185242250585,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,무배당기업
SIMPAC,기계,2011,26.46267066096744,-0.1962514475446243,0.052386454115493926,-0.001826477131204907,0.19839180380670907,-0.2671029785324475,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,중배당기업
SK이노베이션,서비스업,2011,31.187136907152343,-0.065320290689704,-0.5066977600265389,0.011380715667804991,-0.024358217849965662,-0.008126271294891067,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,고배당기업
STX,유통업,2011,29.28623035470874,0.02766744882578696,-0.7741263757911446,0.041742250931892516,-0.17268209275703797,-0.20077967545941483,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,중배당기업
STX엔진,기계,2011,28.88777410455315,0.20367367790061175,-1.1221562990945602,-0.0158891358274234,-0.45499353762611106,-0.3681670594056402,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,중배당기업
