회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]   배당금(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2011/12,3249906091,67682965,,,,124598364,,,135050
(주)DB하이텍,000990,2011/12,1183957429,0,305.87,24.64,-9.96,61642286,3.66,1.21,534317
(주)HJ중공업,097230,2011/12,5857119000,0,212.4,32.01,-15.3,-297988000,1.13,0.38,2316017
(주)KB금융지주,105560,2011/12,18510690000,278173000,4.48,95.71,-79.46,-68061000,1.38,0.76,26999
(주)MH에탄올,023150,2011/12,135927085,0,142.03,41.32,-0.23,4202371,0.5,0.22,43207
(주)SH에너지화학,002360,2011/12,102383199,0,58.74,63,14.9,6995359,0.73,0.42,172753
(주)SIMPAC,009160,2011/12,296953131,2701566,90.56,52.48,18.43,18174973,1.54,0.78,213868
(주)SNT에너지,100840,2011/12,276511841,0,72.18,58.08,-8.7,-17274075,0.99,0.54,195319
(주)SNT홀딩스,036530,2011/12,388123974,5883064,0.07,99.93,9.15,9351556,0.64,0.39,2258
(주)STX,011810,2011/12,3302248000,14671000,183.54,35.27,30.76,-108220000,1.94,0.59,4173397
(주)TCC스틸,002710,2011/12,407743559,3195217,98.3,50.43,10.88,-8210627,0.69,0.34,456928
(주)강원랜드,035250,2011/12,2730283806,184733993,19.84,83.44,-3.79,428912416,3.25,2.37,1263651
(주)갤럭시아에스엠,011420,2011/12,40711969,0,65.9,60.28,-25.23,3957763,5.08,2.12,31931
(주)경농,002100,2011/12,176741869,1467824,21.04,82.62,-15.6,14271710,0.66,0.41,120728
(주)경동나비엔,009450,2011/12,224373470,1247352,56.61,63.85,14.37,12393396,3.2,0.41,318269
(주)경동인베스트,012320,2011/12,941176098,3832388,127.94,43.87,40.11,90136711,0.5,0.36,1806175
(주)경방,000050,2011/12,1331930968,0,96.85,50.8,-0.71,-11592653,0.45,0.26,275747
(주)경보제약,214390,2011/12,,,,,,,,,140391
(주)경인양행,012610,2011/12,245825940,1845000,54.72,64.63,-13.62,10022891,1.06,0.45,128708
(주)광명전기,017040,2011/12,99992644,0,75.46,56.99,-15.07,1814521,3.07,1.14,57968
(주)광주신세계,037710,2011/12,380753715,2000000,22.74,81.47,5.69,58007847,1.04,0.78,219614
(주)국동,005320,2011/12,42291817,0,1469.67,6.37,-9.5,-547564,3.26,0.25,100097
(주)국보,001140,2011/12,97415381,50365,187.58,34.77,8.94,2837703,0.68,0.39,118305
(주)금비,008870,2011/09,134828296,640000,75.94,56.84,24.66,3797084,0.77,0.39,90615
