회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)BNK금융지주,138930,2014/12,4539500075,27.84,21.78,78.22,284.69,352535447,0,0,0,355683103
(주)DB하이텍,000990,2014/12,1001959816,636.17,86.42,13.58,14.98,47362460,0,0,45310506,45310506
(주)HJ중공업,097230,2014/12,5469810000,210.45,67.79,32.21,-6.66,-101009000,13591000,0,-106249000,-106249000
(주)JB금융지주,175330,2014/12,1620866000,28.34,22.08,77.92,0,15169000,0,0,0,14563000
(주)KB금융지주,105560,2014/12,19210521000,5.05,4.81,95.19,78.71,146397000,0,0,0,434024000
(주)MH에탄올,023150,2014/12,85253876,62.36,38.41,61.59,5.8,5125822,0,0,8746818,8746818
(주)SH에너지화학,002360,2014/12,109098264,30.81,23.55,76.45,-1.22,24219262,0,373722,20274504,20274504
(주)SIMPAC,009160,2014/12,329325876,61.51,38.08,61.92,11.23,29061253,0,0,18736806,18736806
(주)SNT에너지,100840,2014/12,304511816,46.6,31.79,68.21,20.92,-24774316,0,0,13777651,13777651
(주)SNT홀딩스,036530,2014/12,399244416,0.1,0.1,99.9,-12.74,6847661,0,0,5966121,5966121
(주)STX,011810,2014/12,1070433000,1850,94.87,5.13,-31.86,-78562000,0,0,23414000,23414000
(주)TCC스틸,002710,2014/12,461297588,119.57,54.46,45.54,-4.33,13870764,0,0,10868549,10868549
(주)강원랜드,035250,2014/12,3380461682,24.46,19.65,80.35,9.98,516728788,0,18078570,526317689,526317689
(주)갤럭시아에스엠,011420,2014/12,40528250,73.18,42.26,57.74,6.87,-1937620,0,0,-512149,-512149
(주)경농,002100,2014/12,230870852,36.61,26.8,73.2,-3.18,14226137,0,4351718,14039409,14039409
(주)경동나비엔,009450,2014/12,331089242,97.1,49.26,50.74,2.9,-24009203,6355372,12591285,16079662,16079662
(주)경동인베스트,012320,2014/12,1101071366,96.34,49.07,50.93,-9.93,16430931,0,0,37837347,37837347
(주)경방,000050,2014/12,1275008413,95.68,48.9,51.1,-2.95,29566345,0,2943212,32095524,32095524
(주)경보제약,214390,2014/12,168034561,145.92,59.34,40.66,4.66,16041867,5357907,2610815,27668563,27668563
(주)경인양행,012610,2014/12,267331084,43.39,30.26,69.74,3.98,15097174,0,0,10970585,10970586
(주)광명전기,017040,2014/12,119791644,77.36,43.62,56.38,28.18,8403184,0,0,10270079,10270079
(주)광주신세계,037710,2014/12,652758688,45.5,31.27,68.73,-0.86,50217757,0,0,51835640,51835640
(주)국동,005320,2014/12,53392996,272.43,73.15,26.85,23.14,-1689994,0,0,5708078,5708078
(주)국보,001140,2014/12,87597909,317.44,76.04,23.96,-17.56,54417,0,0,-1997880,-1997880
(주)금비,008870,2014/09,138058582,86.69,46.43,53.57,-1.6,7112570,0,460161,-1616408,-1616408
(주)금양,001570,2014/12,145135554,212.24,67.97,32.03,4.47,20006548,0,0,7001768,7001768
(주)금호에이치티,214330,2014/12,102363475,65.09,39.43,60.57,41.3,-4445206,0,0,16251373,16251373
(주)까뮤이앤씨,013700,2014/12,129647729,263.19,72.47,27.53,47.86,12949303,0,0,2849967,2849967
(주)나이스홀딩스,034310,2014/12,374466879,15.32,13.28,86.72,1.09,9552606,0,49041,5482042,5482042
(주)남선알미늄,008350,2014/12,240321965,174.75,63.6,36.4,-3.42,13619840,0,0,13927458,13927458
(주)남성,004270,2014/12,170614606,112.77,53,47,4.67,-7544776,414400,0,3517751,3517751
(주)넥센,005720,2014/12,568520715,28.56,22.21,77.79,-3.99,27276838,0,0,24285494,24285494
(주)노루페인트,090350,2014/12,518168929,123.09,55.18,44.82,4.48,20446818,0,4764325,22300399,22300399
(주)노루홀딩스,000320,2014/12,290205704,29.64,22.86,77.14,-9.65,13945246,0,488729,17612002,17612002
(주)녹십자,006280,2014/12,1232228382,42.01,29.58,70.42,7.62,53353499,0,0,86810095,86810095
(주)녹십자홀딩스,005250,2014/12,722616440,28.8,22.36,77.64,6.7,5134136,0,0,18181150,18181150
(주)농심,004370,2014/12,2116774394,37.31,27.17,72.83,-3.71,81314619,0,59921821,70932796,70932796
(주)농심홀딩스,072710,2014/12,566805829,7.71,7.16,92.84,0.7,14611704,0,0,16286805,16286805
(주)다우기술,023590,2014/12,663269644,44.87,30.97,69.03,12.12,19141359,0,0,20457537,20457537
(주)다이나믹디자인,145210,2014/12,284529099,86.99,46.52,53.48,3.53,21564830,0,0,30779256,30779256
(주)대교,019680,2014/12,820055213,24.4,19.61,80.39,-1.58,29316069,0,24087000,38210941,38210941
(주)대구백화점,006370,2014/03,494531240,21.72,17.85,82.15,-0.24,773731,0,22855277,4139223,4139223
(주)대덕,008060,2014/12,547317376,24.96,19.98,80.02,-6.27,83319377,0,0,24224474,24224474
