회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2015/12,90279548107,38388,1358.31,6.86,12.89,746420688,1.07,0.52,65479
(주)DB하이텍,000990,2015/12,984643712,0,287.57,25.8,17.42,152722221,3.53,0.77,666595
(주)HJ중공업,097230,2015/12,5914637000,0,332.17,23.14,23.61,257547000,0.55,0.26,2041347
(주)JB금융지주,175330,2015/12,39811176000,7772,1386.19,6.73,50.28,-744930000,0.66,0.48,51340
(주)KB금융지주,105560,2015/12,329065467000,378625,1038.53,8.78,3.66,2193631000,0.93,0.72,320252
(주)MH에탄올,023150,2015/12,78996052,1820,36.47,73.27,2.86,13384066,2.24,0.95,50386
(주)SH에너지화학,002360,2015/12,115520726,4880,26.05,79.33,-6.27,24630676,3.3,1.59,213882
(주)SIMPAC,009160,2015/12,422833445,3248,82.25,54.87,2.42,10256628,1.08,0.63,213152
(주)SNT에너지,100840,2015/12,,3542,,,,,1.03,0.48,260094
(주)SNT홀딩스,036530,2015/12,2169311305,4064,41.85,70.49,3.89,120263344,1.18,0.7,8475
(주)STX,011810,2015/12,1267224000,0,1651.71,5.71,-0.23,-15950000,3.09,0.17,1362127
(주)TCC스틸,002710,2015/12,376394571,0,337.6,22.85,-4.47,30047778,0.98,0.49,350075
(주)강원랜드,035250,2015/12,3690791830,198684,23.12,81.22,9.17,574981576,3.51,2.28,1630977
(주)갤럭시아에스엠,011420,2015/12,68686992,0,38.09,72.41,42.35,2451666,2.23,0.75,53785
(주)경농,002100,2015/12,316341853,2501,81.11,55.21,4.21,-9854199,0.82,0.61,137609
(주)경동나비엔,009450,2015/12,402084368,1262,95.11,51.25,19.36,43719574,3.04,1.57,448302
(주)경동인베스트,012320,2015/12,1167819522,4355,102.58,49.36,-38.37,-50279018,0.85,0.57,1352478
