회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),배당금(*)(IFRS)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),PER(최저)(IFRS),PBR(최고)(IFRS),매출액(요약)(백만원)
(주)BNK금융지주,138930,2022/12,136966388132,202769793,1164.42,7.91,35.75,3609242229,6.36,0.57,382694
(주)DB하이텍,000990,2022/12,2122700475,56505000,29.57,77.18,37.92,730063434,2.77,2.43,1675288
(주)HJ중공업,097230,2022/12,2567697000,0,566.95,14.99,4.78,84575000,0,1.84,1787366
(주)JB금융지주,175330,2022/12,59828165000,138956000,1156.1,7.96,22.65,-1153355000,3.98,0.84,399616
(주)KB금융지주,105560,2022/12,701170848000,564970000,1312.43,7.08,50.88,5686084000,10.52,1.15,1939300
(주)MH에탄올,023150,2022/12,447440404,1627132,369.03,21.32,8.48,16477364,9.28,1.68,51400
(주)SH에너지화학,002360,2022/12,124160292,1096915,31.94,75.79,19.71,-2342285,74.09,2.17,160634
(주)SIMPAC,009160,2022/12,965098439,10853903,60.93,62.14,9.66,2972365,6.07,1.21,504475
(주)SNT에너지,100840,2022/12,429772702,2634814,68.25,59.43,18.58,28910380,16.14,0.84,182668
(주)SNT홀딩스,036530,2022/12,2558426987,5783865,40.86,70.99,16.06,160521048,11.4,0.83,21176
(주)STX,011810,2022/12,741784000,0,624.35,13.81,28.42,-84572000,0,5.85,879729
(주)TCC스틸,002710,2022/12,507482317,3009581,143.04,41.15,27.53,-12037744,8.29,2.24,527360
(주)강원랜드,035250,2022/12,4167752671,70958649,22.03,81.95,61.17,420172246,41.72,1.84,1269418
(주)갤럭시아에스엠,011420,2022/12,,0,,,,,8.81,2.68,30094
(주)경농,002100,2022/12,448632689,7145860,72.23,58.06,33.79,14419548,8.92,1.38,202589
(주)경동나비엔,009450,2022/12,1018019428,7226466,96.64,50.85,5.25,9346018,11,2.47,979558
(주)경동도시가스,267290,2022/12,1067615033,5154124,170.29,37,58.18,52602626,4.96,0.58,2304288
(주)경동인베스트,012320,2022/12,586813598,1635264,30.2,76.81,-7.68,27230512,0,1.13,11484
(주)경방,000050,2022/12,1248318314,3114409,65.34,60.48,1.53,29255425,0,0.64,269780
(주)경보제약,214390,2022/12,,1195343,,,,,190.87,1.91,196265
(주)경인양행,012610,2022/12,548252999,2075838,105.99,48.55,-0.17,21197161,22.01,1.55,245974
(주)광명전기,017040,2022/12,172178417,424726,44.85,69.04,0.84,-921738,19.62,1.84,130228
(주)광주신세계,037710,2022/12,,17505818,,,,,4.36,2.05,184874
(주)국동,005320,2022/12,175008166,0,60.48,62.31,45.34,10064571,0,2.01,174902
