,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
CS홀딩스,서비스업,2014,260355830000.0,16.03,86.19,-3.12,7.449301675977654,0.46,B이하,C,B이하,B이하,0.0
KISCO홀딩스,서비스업,2014,1379712311000.0,22.16,81.86,-12.67,2.8952205241786637,0.345,B이하,B,B이하,B이하,2753000.0
LG이노텍,전기전자,2014,4428761037000.0,161.05,38.31,4.1,0.1272257384692331,2.355,A,A,A,A,5916000.0
MH에탄올,음식료품,2014,85534839000.0,62.03,61.72,-21.25,0.10532467744569655,1.02,B이하,B,B이하,B이하,1476000.0
OCI,화학,2014,7418713804000.0,127.88,43.88,6.23,0.07414864784644669,1.155,B+,B+,A,B+,4770000.0
SH에너지화학,화학,2014,110741407000.0,31.46,76.07,-0.43,0.1090422300646338,2.045,B이하,C,B이하,B이하,4991000.0
SIMPAC,기계,2014,381939281000.0,74.3,57.37,27.9,0.1514066428709581,0.915,B이하,B,B이하,B이하,2161000.0
SK이노베이션,서비스업,2014,35101313814000.0,118.55,45.76,-1.21,0.5832096978023188,0.8799999999999999,B+,B,A,A,0.0
가온전선,전기전자,2014,511258653000.0,93.97,51.56,-0.97,0.02432545589067328,0.42000000000000004,B이하,B,B+,B이하,2356000.0
강원랜드,서비스업,2014,3375127289000.0,24.76,80.16,9.94,0.34203325021728337,2.7199999999999998,B+,B+,A,B+,172328000.0
경농,화학,2014,284623063000.0,68.5,59.35,-4.01,0.10909366724279897,0.675,B이하,C,B이하,B이하,2112000.0
경동나비엔,전기전자,2014,401658957000.0,111.38,47.31,3.58,-0.03469256155986527,1.985,B이하,C,B이하,B이하,1262000.0
경방,섬유의복,2014,1301841379000.0,101.0,49.75,-5.23,0.09268981512107993,0.65,B이하,B,B이하,B이하,1371000.0
경인양행,화학,2014,313039125000.0,57.91,63.33,6.28,0.09647830037553508,1.315,B이하,B,B이하,B이하,1951000.0
경인전자,전기전자,2014,61733225000.0,7.41,93.1,-26.95,0.31949131198750486,0.585,B이하,B,B이하,B이하,480000.0
계양전기,기계,2014,204236124000.0,33.56,74.87,9.83,0.03261023585825688,0.8999999999999999,B이하,B,B이하,B이하,1537000.0
고려산업,음식료품,2014,156033056000.0,104.99,48.78,-8.55,0.09372301895561531,0.855,B이하,B,B이하,B이하,1086000.0
