,업종명,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,평가연도,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
BNK금융지주,기타금융,90279548107000.0,1358.31,6.86,12.89,2015,11.399390461063852,0.795,A,A+,A,B이하,38388000000.0
CS홀딩스,서비스업,284933124000.0,15.89,86.29,-1.83,2015,13.56916380182002,0.605,B이하,B,B이하,B이하,0.0
JB금융지주,기타금융,39811176000000.0,1386.19,6.73,50.28,2015,-14.509738994935722,0.5700000000000001,B이하,A+,B이하,B이하,7772000000.0
KISCO홀딩스,서비스업,1407103545000.0,17.06,85.43,-6.21,2015,14.617137563451777,0.43499999999999994,B이하,B+,B이하,B이하,2753000000.0
LG이노텍,전기전자,3914337673000.0,121.77,45.09,-5.07,2015,0.11919205860968565,1.73,A,A,A,A,8283000000.0
MH에탄올,음식료품,78996052000.0,36.47,73.27,2.86,2015,0.2656306513714127,1.5950000000000002,B이하,B,B이하,B이하,1820000000.0
OCI,화학,7298775478000.0,125.12,44.42,-26.7,2015,0.00942838722375354,0.8500000000000001,B+,B,A,B이하,0.0
SH에너지화학,화학,115520726000.0,26.05,79.33,-6.27,2015,0.11516011632582453,2.445,B이하,B,B이하,B이하,4880000000.0
SIMPAC,기계,422833445000.0,82.25,54.87,2.42,2015,0.048118844768052844,0.855,B이하,B,B이하,B이하,3248000000.0
SK이노베이션,서비스업,31359835736000.0,83.97,54.36,-26.58,2015,2.45063883037428,0.9099999999999999,A,B+,A,A,447386000000.0
가온전선,전기전자,520474259000.0,98.22,50.45,-12.12,2015,0.0508716456993067,0.38,B이하,B+,B이하,B이하,2356000000.0
강원랜드,서비스업,3690791830000.0,23.12,81.22,9.17,2015,0.3525381265339732,2.8949999999999996,B+,A,B+,B+,198684000000.0
경농,화학,316341853000.0,81.11,55.21,4.21,2015,-0.07161013451155085,0.715,B이하,C,B이하,B이하,2501000000.0
경동나비엔,전기전자,402084368000.0,95.11,51.25,19.36,2015,0.09752259414412606,2.305,B이하,C,B이하,B이하,1262000000.0
경방,섬유의복,1318643312000.0,98.9,50.28,8.69,2015,0.12972009202453988,0.8600000000000001,B이하,B,B이하,B이하,3427000000.0
경인양행,화학,326687437000.0,62.43,61.57,-5.06,2015,0.03111224693869388,1.0499999999999998,B이하,B,B이하,B이하,1952000000.0
경인전자,전기전자,64239944000.0,7.74,92.81,-16.72,2015,0.1384063457609806,0.71,B이하,B,B이하,B이하,480000000.0
계양전기,기계,211584625000.0,31.87,75.83,2.46,2015,0.06823877913587266,0.99,B이하,B,B이하,B이하,1877000000.0
고려산업,음식료품,159959339000.0,101.61,49.6,0.18,2015,0.05260227135036295,0.885,B이하,B,B이하,B이하,724000000.0
고려아연,철강금속,5907933007000.0,13.19,88.35,-3.38,2015,0.231184450115487,1.8650000000000002,B+,B,B+,B+,150231000000.0
고려제강,철강금속,2425786817000.0,66.6,60.02,9.84,2015,0.3937960856319505,0.94,B이하,B,B이하,B+,6299000000.0
광동제약,의약품,663786481000.0,75.73,56.91,82.94,2015,0.07189713260208191,2.25,B이하,B,B이하,B이하,3246000000.0
광명전기,전기전자,131457603000.0,49.67,66.81,-13.7,2015,0.19893630107526883,1.51,B이하,B,B이하,B이하,0.0
광전자,전기전자,240272144000.0,18.24,84.58,-12.47,2015,0.08984998090788616,0.675,B이하,B,B이하,B이하,0.0
광주신세계,유통업,659495158000.0,34.21,74.51,0.25,2015,0.25384761751699686,1.055,B이하,B+,B이하,B이하,2000000000.0
교보증권,증권,5534211787000.0,706.62,12.4,41.24,2015,0.25776719789178215,0.615,B+,A,B+,B이하,5203000000.0
국도화학,화학,681283306000.0,58.17,63.22,3.47,2015,0.09541023138402609,0.9450000000000001,B이하,C,B이하,B+,8716000000.0
국동,유통업,93758552000.0,200.26,33.3,-8.49,2015,0.038156573693510755,3.455,B이하,B,B이하,B이하,0.0
국보,운수창고업,83085438000.0,351.32,22.16,-6.05,2015,-0.009816482343696859,1.625,B이하,C,B이하,B이하,50000000.0
국제약품,의약품,136643778000.0,99.6,50.1,-3.91,2015,-0.0455005687365093,1.335,B이하,B,B이하,B이하,0.0
극동유화,화학,187471506000.0,43.64,69.62,-10.14,2015,0.06843378410568614,0.9450000000000001,B이하,B,B이하,B이하,3487000000.0
금강공업,철강금속,678340605000.0,151.28,39.8,-20.47,2015,0.053155569767836724,1.87,B이하,C,B이하,B이하,1795000000.0
금양,화학,165405931000.0,185.41,35.04,0.28,2015,0.04793071826828468,1.4700000000000002,B이하,C,B이하,B이하,2017000000.0
금호전기,전기전자,475649784000.0,162.79,38.05,-11.46,2015,-0.17574821930895387,0.73,B이하,C,B이하,B이하,0.0
금호타이어,화학,5219976571000.0,314.02,24.15,-11.56,2015,0.09390876063641337,0.95,B이하,C,B+,B+,0.0
깨끗한나라,종이목재,519111847000.0,154.34,39.32,3.38,2015,0.024134629526264963,1.375,B이하,B,B이하,B+,0.0
남선알미늄,철강금속,286102329000.0,177.59,36.02,2.64,2015,-0.04092113451207189,1.31,B이하,C,B+,B이하,0.0
남성,유통업,201740627000.0,184.16,35.19,9.85,2015,-0.1305776788726963,0.43500000000000005,B이하,C,B이하,B이하,157000000.0
남양유업,음식료품,994148527000.0,17.08,85.41,5.5,2015,0.045893942727893974,0.79,B이하,C,B이하,B이하,855000000.0
남해화학,화학,517179022000.0,34.12,74.56,-5.47,2015,0.07411696419894452,1.4300000000000002,B이하,C,B이하,B+,2877000000.0
넥센,서비스업,883064033000.0,21.82,82.09,-13.6,2015,0.20427539311298035,0.99,B이하,B,B이하,B이하,3004000000.0
넥센타이어,화학,2580874677000.0,149.59,40.07,4.47,2015,0.2184049629423382,1.455,B이하,C,B이하,B+,8145000000.0
노루페인트,화학,572890897000.0,111.24,47.34,0.76,2015,0.06888601938878615,1.2850000000000001,B이하,B,B이하,B이하,4095000000.0
노루홀딩스,서비스업,986460689000.0,89.21,52.85,2.01,2015,1.0321840966774343,1.915,B이하,B,B이하,B이하,4169000000.0
녹십자,의약품,1415128446000.0,41.84,70.5,7.43,2015,0.049559900143606554,2.63,B이하,B,B+,B이하,20236000000.0
녹십자홀딩스,서비스업,2058661120000.0,57.46,63.51,8.43,2015,0.14721591479745563,3.7249999999999996,B이하,C,B+,B이하,13622000000.0
농심,음식료품,2418707598000.0,46.9,68.07,6.85,2015,0.10744433627070286,1.3,B이하,C,B이하,B+,23131000000.0
농심홀딩스,서비스업,1084728406000.0,39.15,71.86,15.94,2015,0.2831528617552099,1.175,B이하,B,B이하,B이하,9276000000.0
다우기술,서비스업,7156248386000.0,394.36,20.23,34.07,2015,-0.6975442785634137,2.365,B이하,B,B이하,B이하,6490000000.0
대교,서비스업,820643070000.0,27.43,78.47,0.33,2015,0.06968454975090561,1.6349999999999998,B이하,A,B이하,B이하,12782000000.0
대구백화점,유통업,623073741000.0,67.11,59.84,0.0,2015,0.14780184063451693,0.59,B이하,B,B이하,B이하,4636000000.0
대림통상,기계,233526337000.0,96.96,50.77,0.78,2015,0.027725000495530318,0.82,B이하,C,B이하,B이하,2228000000.0
대상,음식료품,2104598662000.0,157.12,38.89,1.79,2015,0.05605662002832033,1.875,B이하,C,B이하,B이하,14421000000.0
대상홀딩스,서비스업,2480427275000.0,148.53,40.24,3.13,2015,7.8738939824205545,2.285,B이하,C,B이하,B이하,6321000000.0
대성산업,유통업,1076329030000.0,822.98,10.83,-15.65,2015,-0.0442313759903533,3.79,B이하,B,B이하,B+,0.0
대성에너지,전기가스업,627437223000.0,120.01,45.45,-17.95,2015,0.04020481861644704,0.76,B이하,C,B이하,B이하,6875000000.0
대성홀딩스,서비스업,1139355864000.0,112.92,46.96,-17.16,2015,2.03476322178824,0.905,B이하,B,B이하,B이하,4022000000.0
대신증권,증권,18685970298000.0,979.17,9.27,54.39,2015,0.10632796933319257,0.6699999999999999,B+,A,B이하,B이하,36565000000.0
대양금속,철강금속,98535738000.0,712.27,12.31,-0.44,2015,-0.0749866643631637,3.55,B이하,C,B이하,B이하,0.0
대영포장,종이목재,210805563000.0,68.97,59.18,-0.96,2015,0.05340366904854528,0.97,B이하,C,B이하,B이하,0.0
대우건설,건설업,10152059203000.0,258.64,27.88,-0.59,2015,0.06935393600085042,1.115,B이하,D,B+,A,0.0
대우조선해양,운수장비,18880345263000.0,2950.77,3.28,-0.85,2015,-0.06107414480802759,6.875,B+,B,B이하,A,0.0
대웅,서비스업,1242301736000.0,49.95,66.69,11.51,2015,1.4938999162479063,3.4,B이하,C,B이하,B이하,4260000000.0
대웅제약,의약품,944529005000.0,62.78,61.43,14.1,2015,0.04483082308058417,2.635,B이하,C,B+,B이하,7225000000.0
대원강업,운수장비,1157468859000.0,126.79,44.09,-1.59,2015,0.1251449352577341,0.985,B이하,C,B이하,B+,7750000000.0
대원전선,전기전자,214471796000.0,164.14,37.86,6.98,2015,0.04268772029838917,1.96,B이하,C,B이하,B이하,0.0
대원제약,의약품,194749289000.0,31.0,76.33,18.79,2015,0.12120552485669081,2.84,B이하,B+,B이하,B이하,3403000000.0
대원화성,화학,126841403000.0,97.62,50.6,9.94,2015,0.04444132712210957,2.095,B이하,B,B이하,B+,0.0
대유에이텍,운수장비,754878946000.0,416.74,19.35,37.03,2015,0.0990604779629242,2.25,B이하,C,B이하,B이하,4858000000.0
대창,철강금속,539125755000.0,261.6,27.66,-23.19,2015,0.17753151979673937,0.65,B이하,C,B이하,B+,0.0
대창단조,운수장비,195292739000.0,28.85,77.61,-5.61,2015,0.09766198814508674,0.81,B이하,B,B이하,B+,2600000000.0
대한방직,섬유의복,370516547000.0,126.26,44.2,0.0,2015,-0.03931116118871717,0.605,B이하,B,B이하,B이하,0.0
대한유화,화학,1529064058000.0,47.65,67.73,-15.9,2015,0.18848235616751016,0.985,B이하,C,B이하,B+,12352000000.0
대한전선,전기전자,1552803066000.0,338.34,22.81,-20.26,2015,-0.08877710762336784,6.76,B이하,D,B이하,B+,0.0
대한제강,철강금속,635458249000.0,57.09,63.66,-14.79,2015,0.13084520401403554,0.58,B이하,B,B이하,B+,5658000000.0
대한제당,음식료품,1541681141000.0,262.86,27.56,-1.15,2015,-0.006500373855483347,0.595,B이하,B+,B이하,B이하,3964000000.0
대한제분,음식료품,895425738000.0,36.31,73.36,-5.04,2015,0.15738463796448773,0.59,B이하,C,B이하,B+,3285000000.0
대한항공,운수창고업,24180351113000.0,867.59,10.33,-3.06,2015,0.24123815301213972,1.435,B이하,D,B+,A,0.0
대한해운,운수창고업,1517923154000.0,166.6,37.51,0.0,2015,0.27642704871816404,0.94,B이하,C,B이하,B이하,0.0
대한화섬,화학,516448518000.0,24.83,80.11,-5.42,2015,-0.036848671330737805,0.34500000000000003,B이하,B,B이하,B+,0.0
대현,섬유의복,225697006000.0,92.5,51.95,5.77,2015,0.040718111807559396,1.22,B이하,B,B이하,B이하,1550000000.0
대호에이엘,철강금속,89999597000.0,274.74,26.69,-7.7,2015,0.062022955134268205,2.165,B이하,C,B이하,B+,0.0
더존비즈온,서비스업,213534002000.0,60.82,62.18,15.66,2015,0.27751998618721535,4.6,B이하,B,B이하,B이하,6528000000.0
덕성,화학,97271143000.0,53.19,65.28,-6.5,2015,0.07963378251682689,2.45,B이하,C,B이하,B이하,317000000.0
덕양산업,운수장비,419423211000.0,359.59,21.76,0.0,2015,0.03585104581075152,1.7449999999999999,B이하,B,B이하,B이하,647000000.0
도화엔지니어링,서비스업,313077919000.0,36.17,73.44,19.77,2015,0.05029618103022018,0.71,B이하,B,B이하,B이하,4961000000.0
동국제강,철강금속,6895914185000.0,207.04,32.57,-5.74,2015,0.21365730251612125,0.23,B이하,C,B이하,B+,0.0
동남합성,화학,68268555000.0,27.27,78.57,0.5,2015,0.06481991686057152,1.0750000000000002,B이하,C,B이하,B이하,200000000.0
동방,운수창고업,633221223000.0,537.96,15.67,-0.61,2015,0.1368405408042799,0.715,B이하,B,B이하,B이하,192000000.0
동방아그로,화학,170104382000.0,37.84,72.55,1.05,2015,0.02478207906346315,1.05,B이하,B,B이하,B이하,2553000000.0
동성제약,의약품,124116094000.0,114.97,46.52,2.05,2015,-0.12482531476024646,2.545,B이하,B,B이하,B이하,0.0
동아쏘시오홀딩스,서비스업,1223518090000.0,103.03,49.25,11.75,2015,1.6566739740047078,2.175,B이하,B,B이하,B이하,4667000000.0
동아에스티,의약품,1063538923000.0,92.05,52.07,0.41,2015,0.074654984671894,1.995,B이하,B+,B이하,B이하,8031000000.0
동아지질,건설업,259436782000.0,87.47,53.34,-2.94,2015,0.055513553949363977,0.69,B이하,C,B이하,B이하,1978000000.0
동양고속,운수창고업,240378400000.0,82.91,54.67,-0.38,2015,0.13960288385732494,0.845,B이하,C,B이하,B이하,4640000000.0
동양철관,철강금속,177487702000.0,100.73,49.82,-14.27,2015,0.03332699500813438,1.18,B이하,C,B이하,B이하,0.0
동원산업,"농업, 임업 및 어업",1617995582000.0,128.24,43.81,-1.75,2015,0.08756988614946187,1.985,B이하,B,B+,B이하,6726000000.0
동원수산,"농업, 임업 및 어업",93634520000.0,178.69,35.88,7.52,2015,-0.03896958380550118,1.49,B이하,B,B이하,B이하,0.0
동원시스템즈,화학,1272359912000.0,308.55,24.48,61.46,2015,0.45519187961478474,7.904999999999999,B이하,C,B이하,B이하,6099000000.0
동일고무벨트,화학,248608774000.0,55.14,64.46,0.0,2015,0.083714271058571,0.96,B이하,C,B이하,B이하,903000000.0
동일산업,철강금속,347524136000.0,10.07,90.85,0.0,2015,0.13562152499537694,0.49,B이하,B,B이하,B+,1345000000.0
동화약품,의약품,317187030000.0,37.84,72.55,4.56,2015,0.0888576171253713,1.11,B이하,C,B이하,B이하,2213000000.0
두산,서비스업,31556310459000.0,275.96,26.6,-7.37,2015,-0.009484477111973168,1.595,A,A,A,A,91267000000.0
디씨엠,철강금속,163227897000.0,17.79,84.9,-5.42,2015,0.17535469476053278,1.35,B이하,C,B이하,B이하,1983000000.0
디아이,의료정밀,171701971000.0,48.64,67.28,-21.27,2015,-0.05423605533244087,2.705,B이하,B,B이하,B이하,1434000000.0
디아이씨,운수장비,585802945000.0,233.69,29.97,3.46,2015,0.11621073334266262,1.125,B이하,B,B이하,B이하,0.0
디와이,서비스업,700398787000.0,78.57,56.0,6.45,2015,0.40190220876699567,0.635,B이하,B,B이하,B이하,2792000000.0
락앤락,화학,756469839000.0,18.21,84.59,-3.45,2015,0.39358196841938875,1.4300000000000002,B이하,B+,B이하,B이하,10837000000.0
롯데관광개발,서비스업,249000437000.0,50.7,66.36,5.55,2015,-0.004928940342822925,2.73,B이하,C,B이하,B이하,0.0
롯데손해보험,보험,8778322829000.0,1881.51,5.05,12.19,2015,0.16894471268322256,0.76,B+,B+,A,B이하,0.0
롯데쇼핑,유통업,40693366455000.0,138.14,41.99,3.66,2015,0.039627604972191956,0.53,B이하,C,B이하,A,59104000000.0
롯데케미칼,화학,11467808899000.0,51.78,65.89,-21.17,2015,0.3063790668637406,1.035,A,B,A+,A+,84230000000.0
롯데하이마트,유통업,2905213285000.0,62.96,61.37,3.78,2015,0.03087772991555482,0.9199999999999999,B+,B+,B+,B이하,10151000000.0
