업종명,종목명,2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G,2014_종가,2015_종가,등락률,연도
1차 산업,동원수산,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,7180,9900,0.3788300835654596,"14,15년"
1차 산업,사조산업,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,37550,68500,0.8242343541944075,"14,15년"
1차 산업,신라교역,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,19900,17350,-0.1281407035175879,"14,15년"
건설업,GS건설,3.0,4.0,4.0,2.0,4.0,4.0,-1.0,0.0,0.0,28100,23300,-0.1708185053380783,"14,15년"
건설업,대우건설,,4.0,4.0,,3.0,4.0,,-1.0,0.0,6550,6510,-0.0061068702290076,"14,15년"
건설업,동아지질,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,7910,7960,0.0063211125158027,"14,15년"
건설업,삼부토건,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,5020,5290,0.0537848605577689,"14,15년"
건설업,삼호개발,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,3330,3410,0.024024024024024,"14,15년"
건설업,신세계건설,1.0,4.0,1.5,2.0,3.0,1.5,1.0,-1.0,0.0,21300,49500,1.323943661971831,"14,15년"
건설업,에쓰씨엔지니어링,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1690,6080,2.5976331360946747,"14,15년"
건설업,일성건설,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,6450,11400,0.7674418604651163,"14,15년"
건설업,진흥기업,,1.5,3.0,1.0,1.5,3.0,,0.0,0.0,1375,2240,0.6290909090909091,"14,15년"
건설업,코오롱글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,7420,17000,1.2911051212938005,"14,15년"
건설업,태영건설,3.0,3.0,3.0,3.0,1.5,3.0,0.0,-1.5,0.0,4245,5890,0.3875147232037691,"14,15년"
건설업,한신공영,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,12150,18800,0.5473251028806584,"14,15년"
건설업,한전KPS,2.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,87700,104000,0.185860889395667,"14,15년"
건설업,현대건설,3.0,3.0,4.0,2.0,3.0,4.0,-1.0,0.0,0.0,48550,34600,-0.2873326467559217,"14,15년"
건설업,화성산업,3.0,1.5,1.5,3.0,3.0,1.5,0.0,1.5,0.0,11950,17200,0.4393305439330544,"14,15년"
금융 및 보험업,AK홀딩스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,71200,86000,0.2078651685393258,"14,15년"
금융 및 보험업,CJ,2.0,4.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,174000,240000,0.3793103448275862,"14,15년"
금융 및 보험업,CS홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,74300,79900,0.0753701211305518,"14,15년"
금융 및 보험업,DGB금융지주,4.0,4.0,4.0,5.0,3.0,4.0,1.0,-1.0,0.0,15250,10600,-0.3049180327868852,"14,15년"
금융 및 보험업,GS,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,41450,50200,0.2110977080820265,"14,15년"
금융 및 보험업,JW홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,2395,8580,2.582463465553236,"14,15년"
금융 및 보험업,KB금융,4.0,3.0,4.0,4.0,3.0,3.0,0.0,0.0,-1.0,42000,36150,-0.1392857142857143,"14,15년"
금융 및 보험업,KC그린홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,10350,9690,-0.0637681159420289,"14,15년"
금융 및 보험업,LG,4.0,3.0,1.5,4.0,3.0,1.5,0.0,0.0,0.0,63600,66000,0.0377358490566037,"14,15년"
금융 및 보험업,LS,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,59900,38700,-0.353923205342237,"14,15년"
금융 및 보험업,SK,2.0,4.0,5.0,4.0,4.0,4.0,2.0,0.0,-1.0,167000,267000,0.5988023952095808,"14,15년"
금융 및 보험업,SK증권,3.0,3.0,1.5,3.0,3.0,1.5,0.0,0.0,0.0,932,1175,0.2607296137339056,"14,15년"
금융 및 보험업,교보증권,2.0,1.5,1.5,4.0,3.0,1.5,2.0,1.5,0.0,13450,9850,-0.2676579925650557,"14,15년"
금융 및 보험업,기업은행,3.0,3.0,3.0,4.0,3.0,1.5,1.0,0.0,-1.5,15650,14000,-0.1054313099041533,"14,15년"
금융 및 보험업,노루홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,25400,28750,0.1318897637795275,"14,15년"
금융 및 보험업,농심홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,125500,150000,0.1952191235059761,"14,15년"
금융 및 보험업,대상홀딩스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,20800,21350,0.0264423076923076,"14,15년"
금융 및 보험업,대신증권,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,10250,10500,0.024390243902439,"14,15년"
금융 및 보험업,동아쏘시오홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,147000,162500,0.1054421768707483,"14,15년"
금융 및 보험업,동양생명,3.0,1.5,1.5,4.0,3.0,1.5,1.0,1.5,0.0,11600,13950,0.2025862068965517,"14,15년"
금융 및 보험업,동원산업,2.0,1.5,1.5,2.0,3.0,1.5,0.0,1.5,0.0,328000,320000,-0.024390243902439,"14,15년"
금융 및 보험업,두산,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,111000,110500,-0.0045045045045045,"14,15년"
금융 및 보험업,롯데손해보험,3.0,4.0,1.5,3.0,4.0,1.5,0.0,0.0,0.0,2915,2830,-0.0291595197255574,"14,15년"
금융 및 보험업,메리츠금융지주,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,9430,14650,0.5535524920466596,"14,15년"
금융 및 보험업,미래에셋증권,3.0,3.0,1.5,3.0,3.0,1.5,0.0,0.0,0.0,45950,25550,-0.4439608269858542,"14,15년"
