,업종명,종목명,2021_E,2021_S,2021_G,2022_E,2022_S,2022_G,Diff_E,Diff_S,Diff_G,2021_종가,2022_종가,등락률,연도
0,1차 산업,동원산업,2.0,4.0,4.0,3.0,4.0,2.0,1.0,0.0,-2.0,227500,230000,0.0109890109890109,"21,22년"
1,1차 산업,동원수산,1.0,2.0,4.0,1.0,1.0,1.0,0.0,-1.0,-3.0,9490,9450,-0.0042149631190727,"21,22년"
2,1차 산업,사조산업,2.0,3.0,4.0,2.0,3.0,1.0,0.0,0.0,-3.0,47700,41700,-0.1257861635220125,"21,22년"
3,1차 산업,신라교역,1.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,-2.0,12850,11150,-0.1322957198443579,"21,22년"
4,건설업,DL건설,4.0,5.0,4.0,5.0,5.0,4.0,1.0,0.0,0.0,29450,13150,-0.5534804753820034,"21,22년"
6,건설업,GS건설,5.0,6.0,5.0,5.0,5.0,5.0,0.0,-1.0,0.0,41350,21700,-0.4752116082224909,"21,22년"
7,건설업,HDC현대산업개발,3.0,2.0,4.0,1.0,2.0,3.0,-2.0,0.0,-1.0,25550,10000,-0.6086105675146771,"21,22년"
8,건설업,금호건설,2.0,1.0,2.0,2.0,4.0,1.0,0.0,3.0,-1.0,12050,6050,-0.4979253112033195,"21,22년"
9,건설업,까뮤이앤씨,1.0,2.0,4.0,1.0,1.0,3.0,0.0,-1.0,-1.0,2905,1700,-0.414802065404475,"21,22년"
10,건설업,남광토건,1.0,2.0,3.0,1.0,1.0,3.0,0.0,-1.0,0.0,15200,8450,-0.4440789473684211,"21,22년"
11,건설업,대우건설,4.0,5.0,5.0,4.0,4.0,4.0,0.0,-1.0,-1.0,6250,4205,-0.3272,"21,22년"
12,건설업,동부건설,2.0,1.0,4.0,2.0,4.0,2.0,0.0,3.0,-2.0,15050,6810,-0.5475083056478405,"21,22년"
13,건설업,동아지질,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,-2.0,18450,13200,-0.2845528455284553,"21,22년"
14,건설업,범양건영,2.0,6.0,4.0,1.0,2.0,1.0,-1.0,-4.0,-3.0,7690,3170,-0.58777633289987,"21,22년"
15,건설업,삼부토건,2.0,1.0,4.0,1.0,1.0,2.0,-1.0,0.0,-2.0,2080,1365,-0.34375,"21,22년"
16,건설업,삼호개발,1.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,0.0,5090,3880,-0.2377210216110019,"21,22년"
17,건설업,신세계건설,2.0,5.0,5.0,3.0,5.0,4.0,1.0,0.0,-1.0,38100,16300,-0.5721784776902887,"21,22년"
18,건설업,에쓰씨엔지니어링,2.0,2.0,3.0,1.0,1.0,1.0,-1.0,-1.0,-2.0,3830,1885,-0.5078328981723238,"21,22년"
19,건설업,우진아이엔에스,2.0,2.0,4.0,1.0,1.0,3.0,-1.0,-1.0,-1.0,7900,5450,-0.310126582278481,"21,22년"
20,건설업,일성건설,3.0,2.0,4.0,1.0,1.0,2.0,-2.0,-1.0,-2.0,6120,2285,-0.6266339869281046,"21,22년"
21,건설업,진흥기업,2.0,2.0,4.0,1.0,2.0,3.0,-1.0,0.0,-1.0,2100,1230,-0.4142857142857143,"21,22년"
22,건설업,코오롱글로벌,2.0,3.0,4.0,1.0,2.0,4.0,-1.0,-1.0,0.0,26000,13400,-0.4846153846153846,"21,22년"
23,건설업,태영건설,5.0,3.0,4.0,4.0,3.0,4.0,-1.0,0.0,0.0,11100,4200,-0.6216216216216216,"21,22년"
24,건설업,한신공영,2.0,2.0,3.0,1.0,2.0,1.0,-1.0,0.0,-2.0,19050,8820,-0.537007874015748,"21,22년"
25,건설업,한전KPS,3.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0,1.0,41850,31900,-0.2377538829151732,"21,22년"
26,건설업,현대건설,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,-1.0,50300,34900,-0.3061630218687873,"21,22년"
27,금융 및 보험업,AK홀딩스,3.0,4.0,4.0,3.0,5.0,3.0,0.0,1.0,-1.0,26500,11300,-0.5735849056603773,"21,22년"
28,금융 및 보험업,BGF,5.0,6.0,5.0,5.0,6.0,3.0,0.0,0.0,-2.0,5540,3265,-0.4106498194945848,"21,22년"
29,금융 및 보험업,BNK금융지주,5.0,6.0,6.0,5.0,5.0,5.0,0.0,-1.0,-1.0,8800,6410,-0.2715909090909091,"21,22년"
30,금융 및 보험업,CJ,4.0,6.0,5.0,4.0,5.0,4.0,0.0,-1.0,-1.0,95800,71800,-0.2505219206680584,"21,22년"
31,금융 및 보험업,CS홀딩스,1.0,2.0,4.0,1.0,1.0,3.0,0.0,-1.0,-1.0,64900,55400,-0.1463790446841294,"21,22년"
32,금융 및 보험업,DB금융투자,1.0,4.0,3.0,2.0,3.0,3.0,1.0,-1.0,0.0,7060,4025,-0.4298866855524079,"21,22년"
33,금융 및 보험업,DB손해보험,5.0,6.0,4.0,4.0,5.0,4.0,-1.0,-1.0,0.0,59200,56300,-0.0489864864864864,"21,22년"
34,금융 및 보험업,DGB금융지주,5.0,6.0,6.0,6.0,6.0,5.0,1.0,0.0,-1.0,10350,6790,-0.3439613526570048,"21,22년"
35,금융 및 보험업,DL,6.0,6.0,4.0,5.0,6.0,5.0,-1.0,0.0,1.0,65700,61500,-0.0639269406392694,"21,22년"
36,금융 및 보험업,GS,5.0,5.0,5.0,4.0,6.0,5.0,-1.0,1.0,0.0,42250,46000,0.0887573964497041,"21,22년"
37,금융 및 보험업,HDC,3.0,4.0,5.0,1.0,3.0,2.0,-2.0,-1.0,-3.0,10550,5460,-0.4824644549763033,"21,22년"
38,금융 및 보험업,JB금융지주,5.0,6.0,6.0,5.0,6.0,5.0,0.0,0.0,-1.0,8870,7180,-0.1905298759864712,"21,22년"
39,금융 및 보험업,JW홀딩스,1.0,4.0,4.0,2.0,4.0,4.0,1.0,0.0,0.0,3910,2810,-0.2813299232736573,"21,22년"
40,금융 및 보험업,KC그린홀딩스,1.0,2.0,4.0,1.0,1.0,2.0,0.0,-1.0,-2.0,5130,2490,-0.5146198830409356,"21,22년"
