,종목명,2016_E,2016_S,2016_G,2017_E,2017_S,2017_G,Diff_E,Diff_S,Diff_G,업종명,2016_종가,2017_종가,등락률,연도
0,AJ네트웍스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,서비스업,31250,7330,-0.76544,"16,17년"
1,AK홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,61600,67300,0.09253246753246754,"16,17년"
2,BNK금융지주,5.0,3.0,1.5,2.0,4.0,3.0,-3.0,1.0,1.5,기타금융,9290,9940,0.06996770721205597,"16,17년"
3,BYC,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,섬유의복,436500,320000,-0.26689576174112256,"16,17년"
4,CJ,3.0,4.0,3.0,4.0,4.0,1.5,1.0,0.0,-1.5,기타금융,174500,186500,0.06876790830945559,"16,17년"
5,CJ CGV,1.0,3.0,1.5,3.0,3.0,1.5,2.0,0.0,0.0,서비스업,67800,69600,0.02654867256637168,"16,17년"
6,CJ대한통운,3.0,4.0,4.0,3.0,3.0,4.0,0.0,-1.0,0.0,운수창고업,201000,157000,-0.21890547263681592,"16,17년"
7,CJ씨푸드,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,음식료품,3325,2905,-0.12631578947368421,"16,17년"
8,CJ제일제당,2.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,0.0,음식료품,349500,366000,0.04721030042918455,"16,17년"
9,CS홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,기타금융,87000,81000,-0.06896551724137931,"16,17년"
10,DGB금융지주,5.0,5.0,4.0,4.0,4.0,4.0,-1.0,-1.0,0.0,기타금융,9600,10450,0.08854166666666667,"16,17년"
11,DRB동일,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,12800,8480,-0.3375,"16,17년"
12,DSR,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,철강금속,6210,5520,-0.1111111111111111,"16,17년"
