종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","3960","-145","-3.53","183235191480"
"054620","APS홀딩스","KOSDAQ","금융","16100","-300","-1.83","328346958100"
"265520","AP시스템","KOSDAQ","반도체","24400","-550","-2.20","353317538800"
"211270","AP위성","KOSDAQ","통신장비","17150","-450","-2.56","258661513600"
"013720","CBI","KOSDAQ","운송장비·부품","3375","570","20.32","171104990625"
"035760","CJ ENM","KOSDAQ","방송서비스","149800","-1600","-1.06","3284987269200"
"051500","CJ프레시웨이","KOSDAQ","유통","32600","-1150","-3.41","387013703600"
"058820","CMG제약","KOSDAQ","제약","3900","-155","-3.82","541679751600"
"023460","CNH","KOSDAQ","금융","3245","-60","-1.82","120714000000"
"056730","CNT85","KOSDAQ","유통","1550","0","0.00","109591063600"
"056000","COWON","KOSDAQ","디지털컨텐츠","2860","0","0.00","56399843500"
"065770","CS","KOSDAQ","통신장비","4210","-195","-4.43","81720857300"
"083660","CSA 코스믹","KOSDAQ","화학","1455","0","0.00","55194135870"
"367340","DB금융스팩8호","KOSDAQ","금융","2150","15","0.70","13007500000"
"367360","DB금융스팩9호","KOSDAQ","금융","2110","-25","-1.17","10212400000"
"068790","DMS","KOSDAQ","기계·장비","6520","-320","-4.68","160216357720"
"241520","DSC인베스트먼트","KOSDAQ","금융","5400","-300","-5.26","150181576200"
"245620","EDGC","KOSDAQ","기타서비스","3510","-170","-4.62","293746129560"
"037370","EG","KOSDAQ","건설","18850","1800","10.56","151765760900"
"079190","EMW","KOSDAQ","통신장비","2780","0","0.00","88360067660"
"050120","ES큐브","KOSDAQ","유통","4400","-80","-1.79","59681978400"
"130500","GH신소재","KOSDAQ","섬유·의류","5540","-140","-2.46","60940000000"
"900290","GRT","KOSDAQ","금융","951","0","0.00","64073625000"
"083450","GST","KOSDAQ","반도체","25050","-550","-2.15","233409512250"
"045890","GV","KOSDAQ","일반전기전자","240","0","0.00","20823884880"
"297890","HB솔루션","KOSDAQ","기계·장비","19300","100","0.52","321157577700"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2360","-25","-1.05","186417405360"
"195940","HK이노엔","KOSDAQ","제약","52500","200","0.38","1517486197500"
"036640","HRS","KOSDAQ","화학","7720","230","3.07","126259056000"
"335870","IBKS제12호스팩","KOSDAQ","금융","2305","50","2.22","7191600000"
"351340","IBKS제13호스팩","KOSDAQ","금융","2165","0","0.00","11193050000"
"351320","IBKS제14호스팩","KOSDAQ","금융","3390","0","0.00","14678700000"
"373200","IBKS제15호스팩","KOSDAQ","금융","2350","0","0.00","8272000000"
"388790","IBKS제16호스팩","KOSDAQ","금융","2235","50","2.29","7621350000"
"095340","ISC","KOSDAQ","반도체","23250","50","0.22","384659997000"
"099520","ITX-AI","KOSDAQ","통신장비","1285","0","0.00","37652662655"
"950170","JTC","KOSDAQ","유통","4985","-115","-2.25","174502502245"
"067290","JW신약","KOSDAQ","제약","3885","-145","-3.60","170694693330"
"035900","JYP Ent.","KOSDAQ","오락·문화","41400","-1250","-2.93","1469596168800"
"024840","KBI메탈","KOSDAQ","금속","2040","-100","-4.67","67219729920"
"024120","KB오토시스","KOSDAQ","운송장비·부품","6550","-320","-4.66","75325000000"
"021320","KCC건설","KOSDAQ","건설","10400","-500","-4.59","222560000000"
"036670","KCI","KOSDAQ","화학","8610","-270","-3.04","97034700000"
"044180","KD","KOSDAQ","건설","1770","-105","-5.60","29249887200"
"151860","KG ETS","KOSDAQ","기타서비스","16300","50","0.31","586800000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","9230","-270","-2.84","358359992640"
"035600","KG이니시스","KOSDAQ","소프트웨어","17300","-150","-0.86","482746708200"
"226360","KH E&T","KOSDAQ","건설","1600","0","0.00","93926484800"
"111870","KH 일렉트론","KOSDAQ","일반전기전자","836","-22","-2.56","89933731624"
"060720","KH바텍","KOSDAQ","IT부품","22900","-700","-2.97","542213421800"
"122450","KMH","KOSDAQ","방송서비스","9370","-360","-3.70","424797982680"
"052900","KMH하이텍","KOSDAQ","반도체","1655","-75","-4.34","77595500845"
"058400","KNN","KOSDAQ","방송서비스","1540","-55","-3.45","203941768800"
"114450","KPX생명과학","KOSDAQ","제약","7840","-380","-4.62","117600000000"
"060370","KT서브마린","KOSDAQ","건설","5690","-120","-2.07","124611000000"
"108320","LX세미콘","KOSDAQ","반도체","97400","-3800","-3.75","1584142820000"
"160550","NEW","KOSDAQ","오락·문화","12600","350","2.86","351616935600"
"053290","NE능률","KOSDAQ","출판·매체복제","13150","-250","-1.87","217320937050"
"104200","NHN벅스","KOSDAQ","디지털컨텐츠","5440","-260","-4.56","80661872000"
"060250","NHN한국사이버결제","KOSDAQ","소프트웨어","53200","1200","2.31","1303547310800"
"030190","NICE평가정보","KOSDAQ","기타서비스","20300","-100","-0.49","1232510846000"
"078590","OQP","KOSDAQ","운송장비·부품","2380","0","0.00","197556560040"
"024940","PN풍년","KOSDAQ","금속","5460","-210","-3.70","54600000000"
"218410","RFHIC","KOSDAQ","일반전기전자","30000","-1150","-3.69","799428600000"
"327260","RF머트리얼즈","KOSDAQ","기타제조","21100","-950","-4.31","84375713900"
"091340","S&K폴리텍","KOSDAQ","IT부품","5300","-170","-3.11","62029721300"
"019550","SBI인베스트먼트","KOSDAQ","금융","1650","-50","-2.94","267409848750"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","6810","-170","-2.44","163767152400"
"046140","SBS콘텐츠허브","KOSDAQ","오락·문화","7480","140","1.91","160547391400"
"036120","SCI평가정보","KOSDAQ","기타서비스","3200","-60","-1.84","113600000000"
"099220","SDN","KOSDAQ","유통","2205","-85","-3.71","117238610790"
"036540","SFA반도체","KOSDAQ","반도체","6050","-200","-3.20","994984833150"
"255220","SG","KOSDAQ","비금속","1980","-5","-0.25","81853728660"
"040610","SG&G","KOSDAQ","운송장비·부품","2510","-85","-3.28","85558861960"
"049470","SGA","KOSDAQ","소프트웨어","1060","-55","-4.93","56033983940"
"184230","SGA솔루션즈","KOSDAQ","소프트웨어","1290","-100","-7.19","59566789740"
"016250","SGC이테크건설","KOSDAQ","건설","67400","-2400","-3.44","136434247800"
"337450","SK5호스팩","KOSDAQ","금융","2160","-10","-0.46","9309600000"
"340350","SK6호스팩","KOSDAQ","금융","2110","0","0.00","12048100000"
"036490","SK머티리얼즈","KOSDAQ","반도체","406000","-8800","-2.12","4282355238000"
"048550","SM C&C","KOSDAQ","방송서비스","4695","-120","-2.49","447455190900"
"063440","SM Life Design","KOSDAQ","출판·매체복제","3205","0","0.00","144638938570"
"950180","SNK","KOSDAQ","출판·매체복제","19550","-450","-2.25","411758190000"
"289080","SV인베스트먼트","KOSDAQ","금융","3300","-155","-4.49","175672200000"
"089230","THE E&M","KOSDAQ","인터넷","839","-8","-0.94","145524710249"
"161570","THE MIDONG","KOSDAQ","정보기기","1385","-55","-3.82","21582219550"
"192410","THQ","KOSDAQ","통신장비","2675","-100","-3.60","77387479825"
"032540","TJ미디어","KOSDAQ","일반전기전자","5370","-200","-3.59","74812740330"
"048770","TPC","KOSDAQ","기계·장비","3880","-80","-2.02","57321459360"
"246690","TS인베스트먼트","KOSDAQ","금융","2800","-120","-4.11","109552461200"
"317240","TS트릴리온","KOSDAQ","화학","977","-21","-2.10","88989119781"
"038340","UCI","KOSDAQ","기타서비스","445","0","0.00","16641828315"
"073570","WI","KOSDAQ","기타제조","1790","-120","-6.28","144819722670"
"057030","YBM넷","KOSDAQ","기타서비스","6040","-570","-8.62","98528689880"
"040300","YTN","KOSDAQ","방송서비스","3510","-25","-0.71","147420000000"
"051390","YW","KOSDAQ","유통","4050","65","1.63","45989240400"
"052220","iMBC","KOSDAQ","디지털컨텐츠","4400","-5","-0.11","101200000000"
"079940","가비아","KOSDAQ","인터넷","12500","-350","-2.72","169196050000"
"078890","가온미디어","KOSDAQ","통신장비","14750","850","6.12","233816203500"
"036620","감성코퍼레이션","KOSDAQ","유통","1565","0","0.00","117880333805"
"217730","강스템바이오텍","KOSDAQ","제약","4200","-145","-3.34","107359089600"
"114190","강원","KOSDAQ","금속","2500","0","0.00","45387277500"
"094480","갤럭시아머니트리","KOSDAQ","소프트웨어","5690","-150","-2.57","223217778220"
"063080","게임빌","KOSDAQ","디지털컨텐츠","38000","450","1.20","250617296000"
"039240","경남스틸","KOSDAQ","금속","10000","-1150","-10.31","250000000000"
"053950","경남제약","KOSDAQ","제약","6640","40","0.61","133129111600"
"223310","경남제약헬스케어","KOSDAQ","소프트웨어","3320","0","0.00","44267239920"
"011040","경동제약","KOSDAQ","제약","11850","250","2.16","364609877100"
"024910","경창산업","KOSDAQ","운송장비·부품","3305","-345","-9.45","118381811525"
"198440","고려시멘트","KOSDAQ","비금속","3655","-200","-5.19","116886753800"
"049720","고려신용정보","KOSDAQ","기타서비스","9880","-70","-0.70","141284000000"
"014570","고려제약","KOSDAQ","제약","9330","-270","-2.81","102630000000"
"348150","고바이오랩","KOSDAQ","기타서비스","27450","-300","-1.08","443634355350"
"098460","고영","KOSDAQ","기계·장비","19550","100","0.51","1342200460250"
"035290","골드앤에스","KOSDAQ","출판·매체복제","1305","0","0.00","47272202550"
"038530","골드퍼시픽","KOSDAQ","유통","1945","-145","-6.94","154404881135"
"900280","골든센츄리","KOSDAQ","금융","390","-9","-2.26","68863700490"
"215000","골프존","KOSDAQ","소프트웨어","139600","-1000","-0.71","876047934000"
"121440","골프존뉴딘홀딩스","KOSDAQ","유통","9000","-40","-0.44","385531362000"
"014200","광림","KOSDAQ","운송장비·부품","3060","-20","-0.65","228167749440"
"026910","광진실업","KOSDAQ","금속","5700","60","1.06","36510808500"
"090150","광진윈텍","KOSDAQ","운송장비·부품","8600","110","1.30","149282179800"
"355150","교보10호스팩","KOSDAQ","금융","2130","-5","-0.23","11331600000"
"331520","교보9호스팩","KOSDAQ","금융","2190","20","0.92","8497200000"
"053270","구영테크","KOSDAQ","운송장비·부품","3515","0","0.00","92775521610"
"066620","국보디자인","KOSDAQ","건설","19750","-700","-3.42","148125000000"
"043650","국순당","KOSDAQ","음식료·담배","8580","-20","-0.23","153224248320"
"006050","국영지앤엠","KOSDAQ","비금속","1995","-75","-3.62","69616009785"
"060480","국일신동","KOSDAQ","금속","3940","-30","-0.76","43694600000"
"078130","국일제지","KOSDAQ","종이·목재","5150","-60","-1.15","657229985950"
"307750","국전약품","KOSDAQ","제약","19100","1450","8.22","937223037900"
"204020","그리티","KOSDAQ","섬유·의류","2950","-110","-3.59","59434918500"
"186230","그린플러스","KOSDAQ","금속","17500","-250","-1.41","189353290000"
"900070","글로벌에스엠","KOSDAQ","금융","1000","-50","-4.76","53743968000"
"204620","글로벌텍스프리","KOSDAQ","금융","3380","-55","-1.60","164730015580"
"019660","글로본","KOSDAQ","유통","3900","-90","-2.26","127780844100"
"053260","금강철강","KOSDAQ","금속","4890","-160","-3.17","91540800000"
"036190","금화피에스시","KOSDAQ","건설","31000","-750","-2.36","186000000000"
"049080","기가레인","KOSDAQ","반도체","2205","-105","-4.55","174731344200"
"035460","기산텔레콤","KOSDAQ","통신장비","2945","-330","-10.08","42930266300"
"308100","까스텔바작","KOSDAQ","유통","12500","-750","-5.66","82458750000"
"187790","나노","KOSDAQ","화학","2020","-135","-6.26","54676743900"
"286750","나노브릭","KOSDAQ","화학","7400","-80","-1.07","68835303200"
"151910","나노스","KOSDAQ","IT부품","5120","-30","-0.58","760961776640"
"121600","나노신소재","KOSDAQ","화학","38850","-1500","-3.72","421457737050"
"247660","나노씨엠에스","KOSDAQ","일반전기전자","107200","-6400","-5.63","451196224000"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","7020","-180","-2.50","188124255540"
"091970","나노캠텍","KOSDAQ","화학","1610","-70","-4.17","45209484250"
"051490","나라엠앤디","KOSDAQ","기계·장비","9500","-450","-4.52","134900000000"
"190510","나무가","KOSDAQ","IT부품","8270","-270","-3.16","113647828600"
"242040","나무기술","KOSDAQ","출판·매체복제","2650","-45","-1.67","90740505000"
"089600","나스미디어","KOSDAQ","기타서비스","34800","0","0.00","334250868000"
"293580","나우IB","KOSDAQ","금융","10050","120","1.21","96248850000"
"138610","나이벡","KOSDAQ","제약","35750","-3200","-8.22","354031499250"
"130580","나이스디앤비","KOSDAQ","기타서비스","10000","-100","-0.99","154000000000"
"036800","나이스정보통신","KOSDAQ","통신서비스","34200","-600","-1.72","342000000000"
"267320","나인테크","KOSDAQ","IT부품","3315","-120","-3.49","130599576510"
"111710","남화산업","KOSDAQ","오락·문화","9460","-110","-1.15","194762480000"
"091590","남화토건","KOSDAQ","건설","9850","-130","-1.30","115639000000"
"168330","내츄럴엔도텍","KOSDAQ","기타서비스","7000","-220","-3.05","217079632000"
"094860","네오리진","KOSDAQ","소프트웨어","1255","-30","-2.33","67365941455"
"253590","네오셈","KOSDAQ","반도체","2880","-10","-0.35","108285373440"
"212560","네오오토","KOSDAQ","운송장비·부품","7340","-290","-3.80","57802228420"
"095660","네오위즈","KOSDAQ","디지털컨텐츠","22400","-850","-3.66","493555305600"
"042420","네오위즈홀딩스","KOSDAQ","디지털컨텐츠","23700","-350","-1.46","209907724200"
"950220","네오이뮨텍(Reg.S)","KOSDAQ","기타서비스","10300","200","1.98","1013695203000"
"311390","네오크레마","KOSDAQ","음식료·담배","8680","-220","-2.47","63606996600"
"085910","네오티스","KOSDAQ","운송장비·부품","4420","-80","-1.78","58084647660"
"092730","네오팜","KOSDAQ","화학","27400","-600","-2.14","224881691400"
"290660","네오펙트","KOSDAQ","의료·정밀기기","3115","-70","-2.20","58893062200"
"306620","네온테크","KOSDAQ","기계·장비","2715","-55","-1.99","108094722210"
"153460","네이블","KOSDAQ","소프트웨어","7310","-340","-4.44","47734402340"
"007390","네이처셀","KOSDAQ","제약","20400","-450","-2.16","1277593982400"
"033640","네패스","KOSDAQ","반도체","32750","300","0.92","755188865500"
"330860","네패스아크","KOSDAQ","반도체","45350","-1250","-2.68","552546440750"
"089140","넥스턴바이오","KOSDAQ","비금속","7100","-320","-4.31","235868134400"
"065170","넥스트BT","KOSDAQ","유통","1485","-15","-1.00","131035754025"
"137940","넥스트아이","KOSDAQ","의료·정밀기기","1515","-30","-1.94","116831002095"
"348210","넥스틴","KOSDAQ","반도체","52800","-1200","-2.22","504947520000"
"041140","넥슨지티","KOSDAQ","디지털컨텐츠","10100","50","0.50","357270552200"
"217270","넵튠","KOSDAQ","출판·매체복제","17100","-500","-2.84","542272156200"
"225570","넷게임즈","KOSDAQ","디지털컨텐츠","13900","100","0.72","401028441300"
"104620","노랑풍선","KOSDAQ","기타서비스","17250","-350","-1.99","246622387500"
"194700","노바렉스","KOSDAQ","음식료·담배","42000","-1200","-2.78","378157080000"
"285490","노바텍","KOSDAQ","기타제조","32050","-950","-2.88","323119895200"
"278650","노터스","KOSDAQ","기타서비스","26850","-1050","-3.76","204580030800"
"144510","녹십자랩셀","KOSDAQ","기타서비스","98200","-1900","-1.90","1036408102800"
"031390","녹십자셀","KOSDAQ","제약","38150","-250","-0.65","497292765550"
"142280","녹십자엠에스","KOSDAQ","제약","8830","-260","-2.86","186465608890"
"234690","녹십자웰빙","KOSDAQ","제약","9840","-160","-1.60","174682395840"
"065560","녹원씨엔아이","KOSDAQ","출판·매체복제","5770","0","0.00","99593806250"
"054050","농우바이오","KOSDAQ","농업, 임업 및 어업","11900","0","0.00","190763675900"
"069140","누리플랜","KOSDAQ","금속","8340","-370","-4.25","59236876620"
"040160","누리플렉스","KOSDAQ","소프트웨어","8250","-380","-4.40","99458163750"
"126870","뉴로스","KOSDAQ","기계·장비","2230","0","0.00","79475828550"
"060260","뉴보텍","KOSDAQ","화학","1350","-45","-3.23","45135562500"
"012340","뉴인텍","KOSDAQ","IT부품","3415","-115","-3.26","102601974330"
