종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","5770","-70","-1.20","270164642150"
"006840","AK홀딩스","KOSPI","기타금융","26800","-150","-0.56","355034634800"
"027410","BGF","KOSPI","기타금융","5680","-300","-5.02","543671372880"
"282330","BGF리테일","KOSPI","유통업","171000","500","0.29","2955547926000"
"138930","BNK금융지주","KOSPI","기타금융","8810","-30","-0.34","2871489517260"
"001460","BYC","KOSPI","섬유의복","432500","-12000","-2.70","270145987500"
"001465","BYC우","KOSPI","섬유의복","184500","-1500","-0.81","39738532500"
"001040","CJ","KOSPI","기타금융","97100","-1700","-1.72","2833086505800"
"079160","CJ CGV","KOSPI","서비스업","29200","-500","-1.68","1096942092000"
"00104K","CJ4우(전환)","KOSPI","기타금융","80800","-900","-1.10","341502169600"
"000120","CJ대한통운","KOSPI","운수창고업","150500","-2500","-1.63","3433257772000"
"011150","CJ씨푸드","KOSPI","음식료품","3835","-105","-2.66","137794514455"
"011155","CJ씨푸드1우","KOSPI","음식료품","39000","-950","-2.38","7800000000"
"001045","CJ우","KOSPI","기타금융","59700","-900","-1.49","134935313100"
"097950","CJ제일제당","KOSPI","음식료품","401000","-8500","-2.08","6036728586000"
"097955","CJ제일제당 우","KOSPI","음식료품","195000","-3500","-1.76","258849435000"
"000590","CS홀딩스","KOSPI","기타금융","64200","-1200","-1.83","74117744400"
"012030","DB","KOSPI","서비스업","999","-21","-2.06","200972759067"
"016610","DB금융투자","KOSPI","증권","6530","-150","-2.25","277174920170"
"005830","DB손해보험","KOSPI","보험","65200","1600","2.52","4616160000000"
"000990","DB하이텍","KOSPI","전기전자","53200","-1400","-2.56","2362004881600"
"000995","DB하이텍1우","KOSPI","전기전자","100500","-2500","-2.43","11287758000"
"139130","DGB금융지주","KOSPI","기타금융","9860","-70","-0.70","1667777913380"
"001530","DI동일","KOSPI","유통업","304500","-12500","-3.94","764494447500"
"000210","DL","KOSPI","기타금융","74000","-1900","-2.50","1550735416000"
"001880","DL건설","KOSPI","건설업","29700","-900","-2.94","654982534800"
"000215","DL우","KOSPI","기타금융","43800","-950","-2.12","73851837000"
"375500","DL이앤씨","KOSPI","건설업","131500","-2500","-1.87","2545674047000"
"37550K","DL이앤씨우","KOSPI","건설업","75400","-800","-1.05","159386929000"
"004840","DRB동일","KOSPI","화학","6110","-250","-3.93","121772300000"
