종목명,2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G,업종명
AK홀딩스,C,B이하,B이하,C,B이하,B이하,,,,기타금융
BNK금융지주,A+,A,B이하,A+,A,B이하,,,,기타금융
BYC,C,B이하,B이하,C,B이하,B이하,,,,섬유의복
CJ,B,A,B+,B,A,B+,,,,기타금융
CJ CGV,C,B+,B이하,B,B이하,B이하,,,,서비스업
CJ대한통운,B+,A,B+,B+,B+,B+,,,,운수창고업
CJ씨푸드,B,B이하,B이하,B,B이하,B+,,,,음식료품
CJ제일제당,B,A,A,B,B+,A,,,,음식료품
CS홀딩스,C,B이하,B이하,B,B이하,B이하,,,,기타금융
DB,B,B이하,B이하,C,B이하,B이하,,,,서비스업
DB금융투자,B,B이하,B이하,A,B이하,B이하,,,,증권
DB손해보험,A+,B+,B+,A,A,B+,,,,보험
DB하이텍,B,B+,B이하,C,B+,B+,,,,전기전자
DGB금융지주,A,A,A,A+,B+,A,,,,기타금융
DRB동일,C,B이하,B이하,C,B이하,B이하,,,,화학
DSR제강,C,B이하,B이하,C,B이하,B이하,,,,철강금속
E1,B+,B이하,B이하,B,B+,B이하,,,,유통업
F&F,B,B이하,B이하,B,B이하,B이하,,,,섬유의복
GKL,B,B이하,B이하,B+,B+,B이하,,,,서비스업
GS,B+,B이하,B이하,B,B이하,B이하,,,,기타금융
GS건설,B+,A,A,B,A,A,,,,건설업
GS글로벌,B,B이하,B이하,B,B이하,B이하,,,,유통업
GS리테일,B+,B이하,B+,B,B이하,B이하,,,,유통업
JW중외제약,C,B이하,B이하,C,B이하,B이하,,,,의약품
JW홀딩스,B,B이하,B이하,B,B이하,B이하,,,,기타금융
KB금융,A,B+,A,A,B+,B+,,,,기타금융
KC그린홀딩스,B,B이하,B이하,B,B이하,B이하,,,,기타금융
KC코트렐,B,B이하,B+,B,B이하,B이하,,,,기계
KEC,B,B이하,B+,C,B이하,B+,,,,전기전자
KG케미칼,C,B이하,B이하,B,B이하,B이하,,,,화학
KISCO홀딩스,B,B이하,B이하,B+,B이하,B이하,,,,철강금속
KPX케미칼,B,B이하,B이하,B,B이하,B이하,,,,화학
KPX홀딩스,B,B이하,B이하,B,B이하,B이하,,,,화학
KR모터스,B,B이하,B이하,C,B이하,B이하,,,,운수장비
KSS해운,B+,B이하,B이하,B,B이하,B이하,,,,운수창고업
KTcs,B,B이하,B이하,B+,B이하,B이하,,,,서비스업
LF,B,B이하,B이하,B,B이하,B이하,,,,섬유의복
LG,A,B+,B이하,A,B+,B이하,,,,기타금융
LG디스플레이,B+,A,A,B+,B+,A,,,,전기전자
LG생활건강,B+,A,A,B+,A+,A,,,,화학
LG유플러스,A,B+,A,B+,B+,A,,,,통신업
LG이노텍,A,A,A,A,A,A,,,,전기전자
LG전자,B+,A,A+,C,A,A,,,,전기전자
LG화학,A,A,B+,B+,B+,B+,,,,화학
LS,B+,B이하,B이하,B,B이하,B이하,,,,기타금융
LS네트웍스,B,B이하,B이하,D,B이하,B이하,,,,유통업
MH에탄올,B,B이하,B이하,B,B이하,B이하,,,,음식료품
NAVER,A,B+,B이하,B+,B이하,B이하,,,,서비스업
NH투자증권,A,B+,B이하,A,B+,B이하,,,,증권
NICE,B,B이하,B이하,B+,B이하,B이하,,,,서비스업
NI스틸,C,B이하,B이하,C,B이하,B이하,,,,철강금속
OCI,B+,A,B+,B,A,B이하,,,,화학
S-Oil,A+,A,A+,A,A+,A,,,,화학
SBS,B+,B이하,B이하,B+,B이하,B이하,,,,서비스업
SG세계물산,C,B이하,B이하,C,B이하,B이하,,,,유통업
SH에너지화학,C,B이하,B이하,B,B이하,B이하,,,,화학
SIMPAC,B,B이하,B이하,B,B이하,B이하,,,,철강금속
SK,B,A,A+,A,A,A,,,,기타금융
SKC,B+,A,A,B+,A,A,,,,화학
SK가스,B+,B+,B이하,B+,B이하,B이하,,,,유통업
SK네트웍스,B+,A,B이하,B+,B+,B이하,,,,유통업
SK디스커버리,B+,B+,B+,B+,B+,B+,,,,기타금융
SK이노베이션,B,A,A,B+,A,A,,,,화학
SK증권,B+,B+,B이하,B+,B+,B이하,,,,증권
SK텔레콤,A+,B+,A,A,A,A,,,,통신업
SK하이닉스,B,A,B+,B+,B+,B+,,,,전기전자
SPC삼립,C,B이하,B이하,C,B이하,B이하,,,,음식료품
WISCOM,B,B이하,B이하,B,B이하,B이하,,,,화학
가온전선,B,B+,B이하,B+,B이하,B이하,,,,전기전자
강남제비스코,B,B이하,B이하,C,B이하,B이하,,,,화학
강원랜드,B+,A,B+,A,B+,B+,,,,서비스업
갤럭시아에스엠,C,B이하,B이하,C,B이하,B이하,,,,서비스업
경농,C,B이하,B이하,C,B이하,B이하,,,,화학
경동나비엔,C,B이하,B이하,C,B이하,B이하,,,,전기전자
경동인베스트,C,B이하,B이하,B,B이하,B이하,,,,기타금융
경방,B,B이하,B이하,B,B이하,B이하,,,,유통업
경인양행,B,B이하,B이하,B,B이하,B이하,,,,화학
경인전자,B,B이하,B이하,B,B이하,B이하,,,,전기전자
계양전기,B,B이하,B이하,B,B이하,B이하,,,,기계
고려산업,B,B이하,B이하,B,B이하,B이하,,,,음식료품
고려아연,B+,B이하,B+,B,B+,B+,,,,철강금속
고려제강,B,B이하,B이하,B,B이하,B+,,,,철강금속
광동제약,C,B이하,B이하,B,B이하,B이하,,,,의약품
광명전기,C,B이하,B이하,B,B이하,B이하,,,,전기전자
광전자,B,B이하,B이하,B,B이하,B이하,,,,전기전자
광주신세계,B,B+,B이하,B+,B이하,B이하,,,,유통업
교보증권,B,B이하,B이하,A,B+,B이하,,,,증권
국도화학,C,B이하,B+,C,B이하,B+,,,,화학
국동,B,B이하,B이하,B,B이하,B이하,,,,유통업
국보,C,B이하,B이하,C,B이하,B이하,,,,운수창고업
국제약품,B,B이하,B이하,B,B이하,B이하,,,,의약품
극동유화,C,B이하,B이하,B,B이하,B이하,,,,화학
금강공업,B,B이하,B이하,C,B이하,B이하,,,,철강금속
금비,C,B이하,B이하,C,B이하,B이하,,,,비금속광물
금양,B,B이하,B이하,C,B이하,B이하,,,,화학
금호전기,B,B이하,B이하,C,B이하,B이하,,,,전기전자
금호타이어,B+,B+,A,C,B+,B+,,,,화학
기신정기,B+,B이하,B이하,B,B이하,B이하,,,,기계
기업은행,B+,B+,B+,A,B+,B이하,,,,은행
까뮤이앤씨,C,B이하,B이하,B,B이하,B이하,,,,건설업
깨끗한나라,B,B이하,B+,B,B이하,B+,,,,종이목재
남선알미늄,C,B이하,B이하,C,B+,B이하,,,,철강금속
남성,C,B이하,B이하,C,B이하,B이하,,,,유통업
남양유업,C,B이하,B이하,C,B이하,B이하,,,,음식료품
남해화학,B,B이하,B+,C,B이하,B+,,,,화학
넥센,B,B이하,B이하,B,B이하,B이하,,,,화학
넥센타이어,B,B이하,B+,C,B이하,B+,,,,화학
노루페인트,B,B이하,B+,B,B이하,B이하,,,,화학
노루홀딩스,B,B이하,B이하,B,B이하,B이하,,,,기타금융
녹십자,B,B이하,B이하,B,B+,B이하,,,,의약품
녹십자홀딩스,B,B이하,B이하,C,B+,B이하,,,,서비스업
농심,B,B이하,B+,C,B이하,B+,,,,음식료품
농심홀딩스,C,B이하,B이하,B,B이하,B이하,,,,기타금융
다우기술,C,B이하,B이하,B,B이하,B이하,,,,서비스업
대교,A+,B이하,B이하,A,B이하,B이하,,,,서비스업
대구백화점,B,B이하,B이하,B,B이하,B이하,,,,유통업
대덕전자,B,B+,B+,B,B이하,B이하,,,,전기전자
대동전자,C,B이하,B이하,C,B이하,B이하,,,,전기전자
대림통상,B,B이하,B이하,C,B이하,B이하,,,,기계
대상,C,B이하,B이하,C,B이하,B이하,,,,음식료품
대상홀딩스,B,B이하,B이하,C,B이하,B이하,,,,기타금융
대성산업,B,B이하,B+,B,B이하,B+,,,,유통업
대성에너지,B,B이하,B이하,C,B이하,B이하,,,,전기가스업
대성홀딩스,B,B이하,B이하,B,B이하,B이하,,,,서비스업
대신증권,B+,B이하,B이하,A,B이하,B이하,,,,증권
대양금속,C,B이하,B이하,C,B이하,B이하,,,,철강금속
대영포장,C,B이하,B이하,C,B이하,B이하,,,,종이목재
대우건설,D,A,A,D,B+,A,,,,건설업
대우부품,C,B이하,B이하,C,B이하,B이하,,,,운수장비
대우조선해양,B+,B이하,B+,B,B이하,A,,,,운수장비
대웅,C,B이하,B이하,C,B이하,B이하,,,,의약품
대웅제약,B,B이하,B이하,C,B+,B이하,,,,의약품
대원강업,B,B이하,B+,C,B이하,B+,,,,운수장비
대원전선,C,B이하,B이하,C,B이하,B이하,,,,전기전자
대원제약,B+,B이하,B이하,B+,B이하,B이하,,,,의약품
대원화성,B,B이하,B+,B,B이하,B+,,,,화학
대유에이텍,C,B이하,B이하,C,B이하,B이하,,,,운수장비
대유플러스,C,B이하,B+,C,B이하,B+,,,,전기전자
대창,C,B이하,B+,C,B이하,B+,,,,철강금속
대창단조,B,B이하,B이하,B,B이하,B+,,,,운수장비
대한방직,B,B이하,B이하,B,B이하,B이하,,,,섬유의복
대한유화,C,B이하,B+,C,B이하,B+,,,,화학
대한전선,C,B이하,B+,D,B이하,B+,,,,전기전자
대한제강,B,B이하,B+,B,B이하,B+,,,,철강금속
대한제당,B,B이하,B이하,B+,B이하,B이하,,,,음식료품
대한제분,C,B이하,B이하,C,B이하,B+,,,,음식료품
대한항공,B+,A,B+,D,B+,A,,,,운수창고업
대한해운,D,B이하,B이하,C,B이하,B이하,,,,운수창고업
대한화섬,B,B이하,B이하,B,B이하,B+,,,,화학
대현,B+,B이하,B이하,B,B이하,B이하,,,,섬유의복
대호에이엘,C,B이하,B+,C,B이하,B+,,,,철강금속
더존비즈온,C,B이하,B이하,B,B이하,B이하,,,,서비스업
덕성,C,B이하,B이하,C,B이하,B이하,,,,화학
덕양산업,C,B이하,B이하,B,B이하,B이하,,,,운수장비
도화엔지니어링,B,B이하,B이하,B,B이하,B이하,,,,서비스업
동국제강,B+,B이하,B+,C,B이하,B+,,,,철강금속
동남합성,C,B이하,B이하,C,B이하,B이하,,,,화학
동방,C,B이하,B이하,B,B이하,B이하,,,,운수창고업
동방아그로,B,B이하,B이하,B,B이하,B이하,,,,화학
동성제약,C,B이하,B이하,B,B이하,B이하,,,,의약품
동아쏘시오홀딩스,B,B이하,B이하,B,B이하,B이하,,,,기타금융
동아지질,B,B이하,B이하,C,B이하,B이하,,,,건설업
동양고속,B,B이하,B이하,C,B이하,B이하,,,,운수창고업
동양생명,B+,B이하,B이하,A,B+,B이하,,,,보험
동양철관,C,B이하,B이하,C,B이하,B이하,,,,철강금속
동원F&B,C,B이하,B이하,C,B이하,B이하,,,,음식료품
동원금속,C,B이하,B이하,B,B이하,B이하,,,,운수장비
동원산업,B,B이하,B이하,B,B+,B이하,,,,기타금융
동원수산,C,B이하,B이하,B,B이하,B이하,,,,"농업, 임업 및 어업"
동원시스템즈,C,B이하,B이하,C,B이하,B이하,,,,화학
동일고무벨트,C,B이하,B이하,C,B이하,B이하,,,,화학
동일산업,B,B이하,B+,B,B이하,B+,,,,철강금속
동화약품,B,B이하,B이하,C,B이하,B이하,,,,의약품
두산,A,A,A,A,A,A,,,,기타금융
디씨엠,B,B이하,B이하,C,B이하,B이하,,,,철강금속
디아이,C,B이하,B이하,B,B이하,B이하,,,,의료정밀
디아이씨,B,B이하,B이하,B,B이하,B이하,,,,운수장비
디와이,B,B이하,B이하,B,B이하,B이하,,,,기타금융
락앤락,B+,B이하,B이하,B+,B이하,B이하,,,,화학
롯데관광개발,B,B이하,B이하,C,B이하,B이하,,,,서비스업
롯데손해보험,B+,A,B이하,B+,A,B이하,,,,보험
롯데쇼핑,A,A,A,C,B이하,A,,,,유통업
롯데정밀화학,B+,B+,B+,B,B+,B+,,,,화학
롯데지주,B+,B+,A,C,B+,A,,,,기타금융
롯데케미칼,B+,A,A+,B,A+,A+,,,,화학
