종목명,2021_종가,2022_종가
AJ네트웍스,5590,5870
AK홀딩스,26500,11300
BGF,5540,3265
BGF리테일,161500,186500
BNK금융지주,8800,6410
BYC,436000,367500
CJ,95800,71800
CJ CGV,31950,13500
CJ대한통운,142000,87900
CJ씨푸드,3885,2655
CJ제일제당,380000,414000
CS홀딩스,64900,55400
DB,1020,754
DB금융투자,7060,4025
DB손해보험,59200,56300
DB하이텍,57500,44250
DGB금융지주,10350,6790
DL,65700,61500
DL건설,29450,13150
DL이앤씨,135000,34450
DRB동일,5570,4135
DSR,6950,4810
DSR제강,6560,4535
E1,52400,42700
GKL,16350,14200
GS,42250,46000
GS건설,41350,21700
GS글로벌,2575,2695
GS리테일,32200,25400
HDC,10550,5460
HDC현대EP,5870,3885
HDC현대산업개발,25550,10000
HMM,26650,19100
HSD엔진,9230,6540
JB금융지주,8870,7180
JW생명과학,16200,11750
JW중외제약,23350,18750
JW홀딩스,3910,2810
KC그린홀딩스,5130,2490
KC코트렐,7160,2155
KEC,3700,2570
KG케미칼,33950,23000
KH 필룩스,3030,975
KISCO홀딩스,18300,12900
KPX케미칼,57700,47750
KPX홀딩스,66300,52500
KR모터스,1035,559
KSS해운,11900,8990
KTcs,2670,2160
KTis,2540,2450
LF,18300,14850
LG,91200,79200
LG디스플레이,19700,12750
LG생활건강,1171000,510000
LG유플러스,14350,11450
LG이노텍,209500,296500
LG전자,120500,81600
LG헬로비전,6910,4545
LG화학,836000,626000
LIG넥스원,46600,101500
LS,62600,66500
LS네트웍스,3225,2620
LS전선아시아,8370,7540
LX세미콘,109600,82900
LX인터내셔널,27150,40650
LX하우시스,69600,32200
MH에탄올,11600,7890
NAVER,407000,169500
NH투자증권,13150,8970
NICE,16900,12350
NI스틸,4045,3855
OCI,129500,102000
S-Oil,102500,86400
SBS,54100,28450
SGC에너지,48400,31400
SG글로벌,2175,1395
SG세계물산,691,547
SHD,30000,34200
SH에너지화학,1095,914
SIMPAC,7900,6250
SK,243000,214000
SKC,178000,103500
SK가스,137500,114000
SK네트웍스,5090,4030
SK디스커버리,47700,29700
SK디앤디,31550,20600
SK렌터카,12100,6510
SK바이오사이언스,230000,75600
