,ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),경상연구개발비(IFRS연결)(천원),광고 및 판매촉진비(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(계산수치)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS)
CS홀딩스,C,B,C,C,2011,서비스업,590,2011/12,188753459.0,0.0,15.95,13.75,86.25,30.53,7701537.0,0.0,0.0,12311552.0,10395078.0,0.55,0.23
KISCO홀딩스,C,B+,C,C,2011,서비스업,1940,2011/12,779731867.0,2753.0,14.21,12.44,87.56,5.37,35766809.0,0.0,0.0,-37119345.0,21103649.0,0.42,0.23
LG이노텍,A,B+,A,A,2011,전기전자,11070,2011/12,4409966704.0,0.0,232.87,69.96,30.04,10.95,291213015.0,0.0,0.0,-66836148.0,-42889068.0,2.55,0.97
MH에탄올,C,B,C,B이하,2011,음식료품,23150,2011/12,134206851.0,0.0,214.54,68.21,31.79,-18.64,178820.0,0.0,0.0,603258.0,510564.0,0.5,0.22
OCI,A,A,A,A,2011,화학,10060,2011/12,7205013146.0,52469.0,93.68,48.37,51.63,28.71,1373976217.0,0.0,0.0,1114049828.0,1117915949.0,4.78,1.27
SH에너지화학,B이하,C,B이하,C,2011,화학,2360,2011/12,104710740.0,0.0,60.5,37.69,62.31,14.99,5825197.0,0.0,1063880.0,4165988.0,3574431.0,0.73,0.42
SIMPAC,B이하,C,B이하,C,2011,기계,9160,2011/12,310879328.0,2702.0,84.02,45.66,54.34,18.47,18427061.0,0.0,0.0,27346333.0,28888397.0,1.54,0.78
SK이노베이션,A,A+,A,C,2011,서비스업,96770,2011/12,35026880858.0,261001.0,136.16,57.66,42.34,27.27,2722080392.0,0.0,133216000.0,2842354016.0,2959576140.0,2.16,0.98
STX,B+,B+,B+,B+,2011,유통업,11810,2011/12,5234175000.0,14671.0,173.19,63.4,36.6,47.5,55801000.0,0.0,0.0,234608000.0,234608000.0,1.94,0.59
STX엔진,A,B,A,A,2011,기계,77970,2011/12,3513992968.0,7169.0,243.28,70.87,29.13,9.1,-101603671.0,60372227.0,0.0,174480231.0,174480231.0,1.5,0.5
