,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명,현금흐름,PBR
CS홀딩스,590,2011/12,188753459000.0,0.0,15.95,86.25,30.53,C,B,C,C,2011,서비스업,2.8252153338224506,0.39
KISCO홀딩스,1940,2011/12,779731867000.0,2753000000.0,14.21,87.56,5.37,C,B+,C,C,2011,서비스업,2.9343513823939618,0.325
LG이노텍,11070,2011/12,4409966704000.0,0.0,232.87,30.04,10.95,A,B+,A,A,2011,전기전자,0.06755646407824693,1.7599999999999998
MH에탄올,23150,2011/12,134206851000.0,0.0,214.54,31.79,-18.64,C,B,C,B이하,2011,음식료품,0.004138681232207744,0.36
OCI,10060,2011/12,7205013146000.0,52469000000.0,93.68,51.63,28.71,A,A,A,A,2011,화학,0.4032830914326689,3.0250000000000004
SH에너지화학,2360,2011/12,104710740000.0,0.0,60.5,62.31,14.99,B이하,C,B이하,C,2011,화학,0.03371980226103165,0.575
SIMPAC,9160,2011/12,310879328000.0,2702000000.0,84.02,54.34,18.47,B이하,C,B이하,C,2011,기계,0.08616090766267043,1.1600000000000001
SK이노베이션,96770,2011/12,35026880858000.0,261001000000.0,136.16,42.34,27.27,A,A+,A,C,2011,서비스업,1.7835591056783253,1.57
STX,11810,2011/12,5234175000000.0,14671000000.0,173.19,36.6,47.5,B+,B+,B+,B+,2011,유통업,0.013370642668310732,1.265
STX엔진,77970,2011/12,3513992968000.0,7169000000.0,243.28,29.13,9.1,A,B,A,A,2011,기계,-0.07843057369583005,1.0
가온전선,500,2011/12,509900791000.0,1964000000.0,96.1,51.0,31.52,C,B,C,B이하,2011,전기전자,-0.01900328380033797,0.315
강원랜드,35250,2011/12,2711401782000.0,184734000000.0,20.11,83.25,-3.66,B이하,B+,B이하,C,2011,서비스업,0.33065123123394036,2.81
경농,2100,2011/12,173774102000.0,1468000000.0,21.53,82.28,0.0,B이하,B,B이하,B이하,2011,화학,0.1173129928434166,0.535
경동나비엔,9450,2011/12,263211016000.0,1247000000.0,56.57,63.87,11.09,B이하,B,B이하,B이하,2011,전기전자,0.04868128532782018,1.8050000000000002
경방,50,2011/12,1352324332000.0,0.0,114.76,46.56,2.59,B이하,B,B이하,C,2011,섬유의복,-0.053118975002447895,0.355
경인양행,12610,2011/12,319596954000.0,1845000000.0,81.29,55.16,-12.89,B이하,B,B이하,B이하,2011,화학,0.07644958355346987,0.755
경인전자,9140,2011/12,63394446000.0,698000000.0,14.26,87.52,0.0,C,B,C,C,2011,전기전자,0.2503898173939957,0.44999999999999996
계양전기,12200,2011/12,170610595000.0,1637000000.0,23.1,81.24,21.23,B이하,B,B이하,C,2011,기계,0.01244561617134575,0.81
고려산업,2140,2011/12,124894379000.0,724000000.0,122.77,44.89,0.0,B이하,C,B이하,C,2011,음식료품,0.025180874239637857,0.36
고려아연,10130,2011/12,4606179546000.0,88371000000.0,31.21,76.21,44.77,B이하,B+,B이하,B이하,2011,철강금속,0.1871966933206411,2.1350000000000002
고려제강,2240,2011/12,1823262406000.0,4549000000.0,43.36,69.75,8.42,B이하,C,B이하,C,2011,철강금속,0.19466791248565626,0.635
광동제약,9290,2011/12,321682097000.0,2132000000.0,28.92,77.57,8.39,B이하,C,B이하,B이하,2011,의약품,0.08834831611303157,0.72
광명전기,17040,2011/12,123886511000.0,0.0,96.84,50.8,-10.75,C,B,C,B이하,2011,전기전자,0.03045478539884074,2.105
광전자,17900,2011/12,350230397000.0,0.0,54.0,64.94,15.28,C,C,C,B이하,2011,전기전자,0.061120434387011716,1.02
광주신세계,37710,2011/12,380753715000.0,2000000000.0,22.74,81.47,5.69,B+,B+,B+,B이하,2011,유통업,0.2641354695055871,0.91
교보증권,30610,2011/03,4586430100000.0,3568000000.0,727.7,12.08,162.71,B+,C,B이하,C,2011,증권,0.25907503614695465,0.59
국도화학,7690,2011/12,567444580000.0,4648000000.0,79.85,55.6,9.39,B이하,B,B이하,B이하,2011,화학,0.11802187381347064,1.1300000000000001
국동,5320,2011/12,68162305000.0,0.0,1069.25,8.55,1.4,B이하,B,B이하,C,2011,유통업,-0.009625483281217219,1.755
국보,1140,2011/12,98869465000.0,50000000.0,186.86,34.86,10.01,B이하,B,B이하,B이하,2011,운수창고업,0.027470893030725668,0.535
국제약품,2720,2011/03,142910369000.0,1046000000.0,93.46,51.69,0.0,B이하,B,B이하,B이하,2011,의약품,-0.01316912145489993,0.61
극동유화,14530,2011/12,195932757000.0,2441000000.0,111.54,47.27,27.49,B이하,B,B이하,B이하,2011,화학,-0.02599579515063944,0.64
금강공업,14280,2011/12,431242593000.0,1124000000.0,123.63,44.72,8.13,B이하,B,B이하,C,2011,철강금속,0.123683612104939,0.39
금양,1570,2011/12,130817841000.0,840000000.0,189.58,34.53,6.9,C,B,C,C,2011,화학,-0.0068214607754734,0.87
금호전기,1210,2011/12,549343934000.0,2663000000.0,103.37,49.17,-17.14,B이하,B,B이하,B이하,2011,전기전자,-0.05956531396872785,0.83
깨끗한나라,4540,2011/12,442025037000.0,0.0,322.33,23.68,13.87,B이하,B,B이하,B+,2011,종이목재,0.057631450542720064,1.185
남광토건,1260,2011/12,883710234000.0,0.0,0.0,0.0,-2.51,B이하,C,B이하,B이하,2011,건설업,0.07280433464415968,0.0
남선알미늄,8350,2011/12,259574975000.0,0.0,249.67,28.6,11.64,C,C,C,B이하,2011,철강금속,-0.0069264973827010265,2.33
남성,4270,2011/12,222934371000.0,839000000.0,157.95,38.77,-14.28,C,C,C,C,2011,유통업,0.05772696153010215,0.335
남양유업,3920,2011/12,1012073856000.0,857000000.0,23.58,80.92,17.18,C,B,C,C,2011,음식료품,-0.0022315848627151714,0.855
남해화학,25860,2011/12,631030361000.0,882000000.0,71.86,58.19,32.94,B이하,B,B이하,B이하,2011,화학,-0.013286115216919107,1.9300000000000002
넥센,5720,2011/12,521959112000.0,1074000000.0,63.37,61.21,12.82,B이하,B,B이하,C,2011,화학,0.07625620299811575,0.8700000000000001
넥센타이어,2350,2011/12,1902240724000.0,6027000000.0,236.65,29.7,24.49,B이하,C,B이하,B이하,2011,화학,-0.012084681869505709,2.86
노루페인트,90350,2011/12,490240264000.0,3069000000.0,118.78,45.71,19.61,B이하,B,B이하,B이하,2011,화학,0.0699030782595663,0.315
노루홀딩스,320,2011/12,787102842000.0,4170000000.0,116.98,46.09,16.97,C,B,C,C,2011,서비스업,1.368888098817602,0.535
녹십자,6280,2011/12,860353832000.0,15166000000.0,36.5,73.26,0.0,B이하,B,B이하,B이하,2011,의약품,0.07849214012414397,2.585
녹십자홀딩스,5250,2011/12,4603216704000.0,10954000000.0,413.89,19.46,-2.95,B이하,B,B이하,C,2011,서비스업,3.415685032193573,8.11
농심,4370,2011/12,2270287656000.0,23131000000.0,49.44,66.92,4.23,B이하,B,B이하,B이하,2011,음식료품,0.061259017925737534,1.015
농심홀딩스,72710,2011/12,989299514000.0,9276000000.0,41.39,70.72,7.46,B이하,B,B이하,C,2011,서비스업,0.675851135790005,0.52
다우기술,23590,2011/12,4235093248000.0,5550000000.0,292.92,25.45,2.61,B이하,C,B이하,C,2011,서비스업,-0.3716729363464396,1.095
대교,19680,2011/12,858490568000.0,14234000000.0,33.35,74.99,3.16,B이하,A,B이하,C,2011,서비스업,0.04934494315030166,1.11
대구백화점,6370,2011/03,504984223000.0,3159000000.0,32.86,75.27,9.28,B이하,B+,B이하,B이하,2011,유통업,0.2368542500628088,0.335
대림통상,6570,2011/12,267062895000.0,1827000000.0,80.77,55.32,1.77,B이하,C,B이하,B이하,2011,기계,0.033921028197234034,0.47
대상,1680,2011/12,1565601613000.0,3616000000.0,186.17,34.94,21.22,B이하,B,B이하,B이하,2011,음식료품,0.021621218267041803,0.83
대상홀딩스,84690,2011/12,576988559000.0,5578000000.0,38.99,71.95,140.74,C,B,C,C,2011,서비스업,1.7686653008962867,0.365
대성홀딩스,16710,2011/12,941567070000.0,3218000000.0,105.3,48.71,20.73,C,B,C,C,2011,서비스업,0.9035404169403294,0.835
대신증권,3540,2011/03,9561512936000.0,59768000000.0,463.71,17.74,28.28,B이하,A,B이하,C,2011,증권,0.0793882242860789,0.84
대양금속,9190,2011/12,213532161000.0,0.0,600.95,14.27,-32.13,C,C,C,C,2011,철강금속,0.055685031982358336,1.88
