종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","4450","20","0.45","208359212750"
"006840","AK홀딩스","KOSPI","기타금융","19970","-30","-0.15","264553793170"
"027410","BGF","KOSPI","기타금융","4200","40","0.96","402010522200"
"282330","BGF리테일","KOSPI","유통업","190200","6400","3.48","3287398921200"
"138930","BNK금융지주","KOSPI","기타금융","6780","0","0.00","2209840967880"
"001460","BYC","KOSPI","섬유의복","425500","500","0.12","265773682500"
"001465","BYC우","KOSPI","섬유의복","149800","-200","-0.13","32264673000"
"001040","CJ","KOSPI","기타금융","90700","700","0.78","2646353718600"
"079160","CJ CGV","KOSPI","서비스업","15300","100","0.66","730232876700"
"00104K","CJ4우(전환)","KOSPI","기타금융","73800","1300","1.79","311916585600"
"000120","CJ대한통운","KOSPI","운수창고업","85600","1400","1.66","1952736646400"
"011150","CJ씨푸드","KOSPI","음식료품","3645","145","4.14","130967667585"
"011155","CJ씨푸드1우","KOSPI","음식료품","25750","950","3.83","5150000000"
"001045","CJ우","KOSPI","기타금융","51000","-100","-0.20","115271373000"
"097950","CJ제일제당","KOSPI","음식료품","326000","1500","0.46","4907664636000"
"097955","CJ제일제당 우","KOSPI","음식료품","152200","-200","-0.13","202035302600"
"000590","CS홀딩스","KOSPI","기타금융","60400","400","0.67","69730712800"
"012030","DB","KOSPI","서비스업","1798","-1","-0.06","361710731534"
"016610","DB금융투자","KOSPI","증권","4210","0","0.00","178699297690"
"005830","DB손해보험","KOSPI","보험","81300","1700","2.14","5756040000000"
"000990","DB하이텍","KOSPI","전기전자","59600","-600","-1.00","2646155844800"
"000995","DB하이텍1우","KOSPI","전기전자","78000","-3900","-4.76","8760648000"
"139130","DGB금융지주","KOSPI","기타금융","7090","-40","-0.56","1199243955970"
"001530","DI동일","KOSPI","유통업","20800","200","0.97","541646081600"
"000210","DL","KOSPI","화학","47750","350","0.74","1000643461000"
"001880","DL건설","KOSPI","건설업","14210","120","0.85","313377165640"
"000215","DL우","KOSPI","화학","28700","100","0.35","48391500500"
"375500","DL이앤씨","KOSPI","건설업","36900","250","0.68","1427794688700"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","26200","-50","-0.19","55333116200"
"37550K","DL이앤씨우","KOSPI","건설업","21350","150","0.71","45131444750"
"007340","DN오토모티브","KOSPI","전기전자","77300","-100","-0.13","772536586500"
"004840","DRB동일","KOSPI","화학","5100","40","0.79","101643000000"
"155660","DSR","KOSPI","철강금속","5020","-40","-0.79","80320000000"
"069730","DSR제강","KOSPI","철강금속","5000","-60","-1.19","72000000000"
"017940","E1","KOSPI","유통업","52600","-200","-0.38","360836000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","4170","-10","-0.24","888581130000"
"383220","F&F","KOSPI","섬유의복","134400","-3400","-2.47","5148470880000"
