회사명,거래소코드,회계년도,종합등급,환경,사회,지배구조,한국ESG연구소,Moody's,MSCI,S&P
AJ네트웍스,95570,2021,B,D,B,B,-,-,-,-
AK홀딩스,6840,2021,B+,B,B+,B+,-,-,-,1
BGF,27410,2021,A,A,A+,A,-,-,-,13
BGF리테일,282330,2021,A,A,A+,A,S,-,BBB,11
BNK금융지주,138930,2021,A+,A,A+,A+,A,-,A,38
BYC,1460,2021,B,D,B,B+,-,-,-,-
CJ,1040,2021,A,B+,A+,A,A,-,BBB,16
CJ CGV,79160,2021,A,B,A+,B+,-,-,-,12
CJ대한통운,120,2021,A,A,A+,A,A,-,BBB,62
CJ씨푸드,11150,2021,B,C,B+,B+,-,-,-,-
CJ제일제당,97950,2021,A,A,A+,A,S,-,A,78
CS홀딩스,590,2021,B,D,C,B+,-,-,-,-
DB,12030,2021,B,D,B+,B+,-,-,-,-
DB금융투자,16610,2021,B,D,B+,B,-,-,-,-
DB손해보험,5830,2021,A,A,A+,B+,A,-,BBB,57
DB하이텍,990,2021,A,A,A,A,A,-,-,17
DGB금융지주,139130,2021,A+,A,A+,A+,-,-,-,67
DL,210,2021,A,A+,A+,B+,B+,-,B,24
DL건설,1880,2021,B+,B+,A,B+,-,-,-,-
DL이앤씨,375500,2021,-,-,-,-,B+,-,-,29
DN오토모티브,7340,2021,B,B,C,B+,-,-,-,-
DRB동일,4840,2021,B+,B,B+,B+,-,-,-,-
DSR,155660,2021,B,B,B,B,-,-,-,-
DSR제강,69730,2021,C,C,C,B+,-,-,-,-
E1,17940,2021,B+,B+,A,B+,-,-,-,-
ESR켄달스퀘어리츠,0,2021,-,-,-,-,-,-,-,-
F&F,0,2021,-,-,-,-,-,-,-,3
F&F 홀딩스,7700,2021,B+,B+,A,B+,-,-,CCC,4
GKL,114090,2021,B+,B+,B+,B+,A+,-,-,4
GS,78930,2021,A,A,A,A,B,-,BBB,4
GS건설,6360,2021,A,A,A+,A,B+,-,BBB,66
GS글로벌,1250,2021,B+,B,B+,A,-,-,-,-
GS리테일,7070,2021,A,A,A,A,A,-,BB,4
HDC,12630,2021,B+,B,B+,A,-,-,-,2
HDC랩스,39570,2021,B,C,B,B+,-,-,-,-
HDC현대EP,89470,2021,B+,B,B+,B+,-,-,-,-
HDC현대산업개발,294870,2021,B,B,C,B+,B,-,B,4
HD현대,267250,2021,A,A,A+,A,A,-,BB,13
HJ중공업,97230,2021,B,C,B,B+,-,-,-,-
HL D&I,14790,2021,B+,B+,B+,B+,-,-,-,-
HLB글로벌,3580,2021,C,D,C,B,-,-,-,-
HL만도,204320,2021,A,B+,A+,A,A+,-,-,37
HL홀딩스,60980,2021,A,B,A+,A,-,-,-,18
HMM,11200,2021,A,A,A+,A,A,-,BB,29
HSD엔진,82740,2021,A,B+,A,A,-,-,-,-
JB금융지주,175330,2021,A+,A,A+,A+,-,-,-,55
JW생명과학,234080,2021,B,B,B+,B,-,-,-,9
JW중외제약,1060,2021,B,C,B+,B+,-,-,-,8
JW홀딩스,96760,2021,B,D,B+,B+,-,-,-,8
KB금융,0,2021,A+,A+,A+,A+,A,-,AA,89
KC그린홀딩스,9440,2021,B,D,C,B+,-,-,-,-
KC코트렐,119650,2021,C,D,C,B+,-,-,-,-
KEC,92220,2021,B,B,B+,B,-,-,-,-
KG스틸,16380,2021,B,B+,B,B,A,-,-,-
KG케미칼,1390,2021,C,C,C,B,-,-,-,2
