,종목명,2015_E,2015_S,2015_G,2016_E,2016_S,2016_G,Diff_E,Diff_S,Diff_G,업종명,2015_종가,2016_종가,등락률,연도
0,AK홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,기타금융,86000,61600,-0.2837209302325581,"15,16년"
1,BNK금융지주,5.0,4.0,1.5,5.0,3.0,1.5,0.0,-1.0,0.0,기타금융,14000,9290,-0.3364285714285714,"15,16년"
2,BYC,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,섬유의복,399000,436500,0.09398496240601503,"15,16년"
3,CJ,2.0,4.0,3.0,3.0,4.0,3.0,1.0,0.0,0.0,기타금융,240000,174500,-0.27291666666666664,"15,16년"
4,CJ CGV,2.0,1.5,1.5,1.0,3.0,1.5,-1.0,1.5,0.0,서비스업,104000,67800,-0.34807692307692306,"15,16년"
5,CJ대한통운,3.0,3.0,3.0,3.0,4.0,4.0,0.0,1.0,1.0,운수창고업,195000,201000,0.03076923076923077,"15,16년"
6,CJ씨푸드,2.0,1.5,3.0,2.0,1.5,1.5,0.0,0.0,-1.5,음식료품,3655,3325,-0.09028727770177838,"15,16년"
7,CJ제일제당,2.0,3.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,음식료품,350000,349500,-0.0014285714285714286,"15,16년"
8,CS홀딩스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기타금융,79900,87000,0.08886107634543179,"15,16년"
9,DGB금융지주,5.0,3.0,4.0,5.0,5.0,4.0,0.0,2.0,0.0,기타금융,10600,9600,-0.09433962264150944,"15,16년"
10,DRB동일,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,화학,14650,12800,-0.12627986348122866,"15,16년"
11,DSR,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,철강금속,3710,6210,0.6738544474393531,"15,16년"
12,DSR제강,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,철강금속,4085,8480,1.0758873929008568,"15,16년"
13,E1,2.0,3.0,1.5,3.0,3.0,1.5,1.0,0.0,0.0,유통업,69000,60800,-0.11884057971014493,"15,16년"
14,F&F,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,섬유의복,19900,16100,-0.19095477386934673,"15,16년"
15,GKL,3.0,3.0,1.5,2.0,3.0,1.5,-1.0,0.0,0.0,서비스업,31800,21700,-0.31761006289308175,"15,16년"
16,GS,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,50200,51100,0.017928286852589643,"15,16년"
17,GS건설,2.0,4.0,4.0,3.0,3.0,4.0,1.0,-1.0,0.0,건설업,23300,26800,0.15021459227467812,"15,16년"
18,GS글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,6200,2675,-0.5685483870967742,"15,16년"
19,GS리테일,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,57600,48800,-0.1527777777777778,"15,16년"
20,JB금융지주,5.0,1.5,1.5,5.0,1.5,1.5,0.0,0.0,0.0,기타금융,5940,5940,0.0,"15,16년"
21,JW중외제약,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,의약품,34900,49200,0.40974212034383956,"15,16년"
22,JW홀딩스,2.0,1.5,1.5,1.0,3.0,1.5,-1.0,1.5,0.0,기타금융,8580,9970,0.16200466200466201,"15,16년"
23,KB금융,4.0,3.0,3.0,5.0,5.0,4.0,1.0,2.0,1.0,기타금융,36150,42300,0.17012448132780084,"15,16년"
24,KC그린홀딩스,2.0,1.5,1.5,2.0,4.0,1.5,0.0,2.5,0.0,기타금융,9690,8650,-0.10732714138286893,"15,16년"
25,KC코트렐,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기계,7900,5940,-0.2481012658227848,"15,16년"
26,KEC,1.0,1.5,3.0,1.0,1.5,3.0,0.0,0.0,0.0,전기전자,1140,963,-0.15526315789473685,"15,16년"
27,KG케미칼,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,화학,16100,14000,-0.13043478260869565,"15,16년"
28,KISCO홀딩스,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,철강금속,59500,61500,0.03361344537815126,"15,16년"
29,KPX케미칼,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,56900,63200,0.11072056239015818,"15,16년"
30,KPX홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,69500,63700,-0.08345323741007195,"15,16년"
31,KR모터스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,운수장비,1050,930,-0.11428571428571428,"15,16년"
32,KSS해운,2.0,1.5,1.5,2.0,4.0,1.5,0.0,2.5,0.0,운수창고업,17700,8060,-0.5446327683615819,"15,16년"
33,KTcs,3.0,1.5,1.5,3.0,3.0,1.5,0.0,1.5,0.0,서비스업,3600,2460,-0.31666666666666665,"15,16년"
34,LF,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,섬유의복,31650,21700,-0.31437598736176936,"15,16년"
35,LG,4.0,3.0,1.5,4.0,3.0,1.5,0.0,0.0,0.0,기타금융,66000,61300,-0.07121212121212121,"15,16년"
36,LG디스플레이,3.0,3.0,4.0,3.0,4.0,3.0,0.0,1.0,-1.0,전기전자,21600,27300,0.2638888888888889,"15,16년"
37,LG생활건강,3.0,5.0,4.0,3.0,5.0,4.0,0.0,0.0,0.0,화학,947000,820000,-0.1341077085533263,"15,16년"
38,LG유플러스,3.0,3.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,통신업,10950,11800,0.0776255707762557,"15,16년"
39,LG이노텍,4.0,4.0,4.0,4.0,5.0,4.0,0.0,1.0,0.0,전기전자,92700,78000,-0.15857605177993528,"15,16년"
40,LG전자,1.0,4.0,4.0,2.0,5.0,4.0,1.0,1.0,0.0,전기전자,49100,47800,-0.026476578411405296,"15,16년"
41,LG화학,3.0,3.0,3.0,2.0,3.0,3.0,-1.0,0.0,0.0,화학,304500,246500,-0.19047619047619047,"15,16년"
42,LS,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,38700,54900,0.4186046511627907,"15,16년"
43,LS네트웍스,,1.5,1.5,1.0,1.5,1.5,,0.0,0.0,유통업,3960,3130,-0.20959595959595959,"15,16년"
44,MH에탄올,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,음식료품,10200,7770,-0.23823529411764705,"15,16년"
45,NAVER,3.0,1.5,1.5,2.0,3.0,3.0,-1.0,1.5,1.5,서비스업,600000,857000,0.42833333333333334,"15,16년"
46,NH투자증권,4.0,3.0,1.5,5.0,3.0,1.5,1.0,0.0,0.0,증권,10100,10100,0.0,"15,16년"
47,NICE,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,서비스업,25450,16850,-0.3379174852652259,"15,16년"
48,NI스틸,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,철강금속,2695,3145,0.16697588126159554,"15,16년"
49,OCI,2.0,4.0,1.5,3.0,4.0,3.0,1.0,0.0,1.5,화학,82200,90500,0.10097323600973236,"15,16년"
50,S-Oil,4.0,5.0,4.0,5.0,5.0,4.0,1.0,0.0,0.0,화학,68300,78500,0.1493411420204978,"15,16년"
51,SBS,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,서비스업,38500,24250,-0.37012987012987014,"15,16년"
52,SG세계물산,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,유통업,1280,1220,-0.046875,"15,16년"
53,SH에너지화학,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,1595,1550,-0.02821316614420063,"15,16년"
54,SIMPAC,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,철강금속,6440,4900,-0.2391304347826087,"15,16년"
55,SK,4.0,4.0,4.0,4.0,5.0,4.0,0.0,1.0,0.0,기타금융,267000,223500,-0.16292134831460675,"15,16년"
56,SKC,3.0,4.0,4.0,3.0,3.0,4.0,0.0,-1.0,0.0,화학,38450,27050,-0.2964889466840052,"15,16년"
