업종명,종목명,2012_E,2012_S,2012_G,2013_E,2013_S,2013_G,Diff_E,Diff_S,Diff_G,2012_종가,2013_종가,등락률,연도
1차 산업,동원수산,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,14000,14900,0.0642857142857142,"12,13년"
1차 산업,사조산업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,56300,29550,-0.475133214920071,"12,13년"
1차 산업,신라교역,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,24300,29250,0.2037037037037037,"12,13년"
건설업,GS건설,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,61400,35800,-0.4169381107491857,"12,13년"
건설업,대우건설,3.0,1.5,1.5,3.0,4.0,4.0,0.0,2.5,2.5,9280,8590,-0.074353448275862,"12,13년"
건설업,동부건설,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,3400,3340,-0.0176470588235294,"12,13년"
건설업,동아지질,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,9060,8730,-0.0364238410596026,"12,13년"
건설업,삼부토건,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,4035,5260,0.3035935563816604,"12,13년"
건설업,삼호개발,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,2100,2410,0.1476190476190476,"12,13년"
건설업,신세계건설,1.0,1.5,1.5,1.0,3.0,1.5,0.0,1.5,0.0,11200,9950,-0.1116071428571428,"12,13년"
건설업,에쓰씨엔지니어링,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,2240,1940,-0.1339285714285714,"12,13년"
건설업,일성건설,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,5210,5680,0.0902111324376199,"12,13년"
건설업,진흥기업,,1.5,1.5,2.0,3.0,3.0,,1.5,1.5,647,1640,1.534775888717156,"12,13년"
건설업,코오롱글로벌,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,3140,3870,0.232484076433121,"12,13년"
건설업,태영건설,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,5480,5720,0.0437956204379562,"12,13년"
건설업,한신공영,2.0,3.0,1.5,2.0,1.5,1.5,0.0,-1.5,0.0,7120,11200,0.5730337078651685,"12,13년"
건설업,한전KPS,2.0,4.0,1.5,2.0,4.0,1.5,0.0,0.0,0.0,60000,53800,-0.1033333333333333,"12,13년"
건설업,현대건설,3.0,4.0,3.0,3.0,3.0,3.0,0.0,-1.0,0.0,65700,60900,-0.0730593607305936,"12,13년"
건설업,화성산업,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,3610,5580,0.5457063711911357,"12,13년"
금융 및 보험업,AK홀딩스,1.0,1.5,3.0,1.0,1.5,1.5,0.0,0.0,-1.5,22350,40150,0.796420581655481,"12,13년"
금융 및 보험업,CJ,2.0,1.5,1.5,2.0,4.0,1.5,0.0,2.5,0.0,106500,111000,0.0422535211267605,"12,13년"
금융 및 보험업,CS홀딩스,1.0,1.5,,1.0,1.5,1.5,0.0,0.0,,35550,37300,0.0492264416315049,"12,13년"
금융 및 보험업,DGB금융지주,4.0,1.5,3.0,4.0,1.5,3.0,0.0,0.0,0.0,13800,17000,0.2318840579710145,"12,13년"
금융 및 보험업,GS,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,68600,58500,-0.1472303206997084,"12,13년"
금융 및 보험업,JW홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,2410,2680,0.1120331950207468,"12,13년"
금융 및 보험업,KB금융,5.0,5.0,4.0,5.0,5.0,5.0,0.0,0.0,1.0,37100,42000,0.1320754716981132,"12,13년"
금융 및 보험업,KC그린홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,2935,10450,2.5604770017035774,"12,13년"
금융 및 보험업,LG,2.0,1.5,1.5,4.0,3.0,1.5,2.0,1.5,0.0,66600,62700,-0.0585585585585585,"12,13년"
금융 및 보험업,LS,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,89200,79300,-0.1109865470852018,"12,13년"
금융 및 보험업,SK,3.0,4.0,4.0,2.0,3.0,1.5,-1.0,-1.0,-2.5,152000,192500,0.2664473684210526,"12,13년"
금융 및 보험업,SK증권,4.0,4.0,1.5,3.0,3.0,1.5,-1.0,-1.0,0.0,1160,803,-0.3077586206896551,"12,13년"
금융 및 보험업,교보증권,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,4610,4555,-0.0119305856832971,"12,13년"
금융 및 보험업,기업은행,3.0,3.0,1.5,3.0,3.0,3.0,0.0,0.0,1.5,12000,12250,0.0208333333333333,"12,13년"
금융 및 보험업,노루홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,8260,19500,1.360774818401937,"12,13년"
금융 및 보험업,농심홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,62000,76100,0.2274193548387096,"12,13년"
금융 및 보험업,대상홀딩스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,5890,7470,0.2682512733446519,"12,13년"
금융 및 보험업,대신증권,4.0,1.5,1.5,4.0,1.5,1.5,0.0,0.0,0.0,8690,8850,0.0184119677790563,"12,13년"
금융 및 보험업,동양생명,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,11800,11250,-0.0466101694915254,"12,13년"
금융 및 보험업,동원산업,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,285000,284000,-0.0035087719298245,"12,13년"
금융 및 보험업,두산,5.0,5.0,5.0,5.0,4.0,5.0,0.0,-1.0,0.0,126000,142000,0.1269841269841269,"12,13년"
