종목명,2021_E,2021_S,2021_G,2022_E,2022_S,2022_G,Diff_E,Diff_S,Diff_G,업종명
AJ네트웍스,D,B,B,C,B+,B+,,,,서비스업
AK홀딩스,B,B+,B+,B,A,B,,,,기타금융
BGF,A,A+,A,A,A+,B,,,,기타금융
BGF리테일,A,A+,A,A,A+,A,,,,유통업
BNK금융지주,A,A+,A+,A,A,A,,,,기타금융
BYC,D,B,B+,D,D,D,,,,섬유의복
CJ,B+,A+,A,B+,A,B+,,,,기타금융
CJ CGV,B,A+,B+,B,B+,B+,,,,서비스업
CJ대한통운,A,A+,A,B+,A+,B,,,,운수창고업
CJ씨푸드,C,B+,B+,C,B,B,,,,음식료품
CJ제일제당,A,A+,A,A,A,B+,,,,음식료품
CS홀딩스,D,C,B+,D,D,B,,,,기타금융
DB,D,B+,B+,D,B,B+,,,,서비스업
DB금융투자,D,B+,B,C,B,B,,,,증권
DB손해보험,A,A+,B+,B+,A,B+,,,,보험
DB하이텍,A,A,A,B,B+,B,,,,전기전자
DGB금융지주,A,A+,A+,A+,A+,A,,,,기타금융
DL,A+,A+,B+,A,A+,A,,,,기타금융
DL건설,B+,A,B+,A,A,B+,,,,건설업
DL이앤씨,-,-,-,A,A,A,,,,건설업
DRB동일,B,B+,B+,D,B+,B,,,,화학
DSR,B,B,B,D,C,D,,,,철강금속
DSR제강,C,C,B+,D,C,B,,,,철강금속
E1,B+,A,B+,B+,B+,B+,,,,유통업
GKL,B+,B+,B+,B,A,A,,,,서비스업
GS,A,A,A,B+,A+,A,,,,기타금융
GS건설,A,A+,A,A,A,A,,,,건설업
GS글로벌,B,B+,A,C,B+,B+,,,,유통업
GS리테일,A,A,A,B+,A,A,,,,유통업
HDC,B,B+,A,D,B,C,,,,기타금융
HDC현대EP,B,B+,B+,C,B,C,,,,화학
HDC현대산업개발,B,C,B+,D,C,B,,,,건설업
HMM,A,A+,A,A+,A,B+,,,,운수창고업
HSD엔진,B+,A,A,B,A,B+,,,,기계
JB금융지주,A,A+,A+,A,A+,A,,,,기타금융
JW생명과학,B,B+,B,C,B+,C,,,,의약품
JW중외제약,C,B+,B+,B,B+,D,,,,의약품
JW홀딩스,D,B+,B+,C,B+,B+,,,,기타금융
KC그린홀딩스,D,C,B+,D,D,C,,,,기타금융
KC코트렐,D,C,B+,D,D,C,,,,기계
KEC,B,B+,B,C,D,C,,,,전기전자
KG케미칼,C,C,B,D,D,D,,,,화학
KH 필룩스,C,B,C,D,C,D,,,,전기전자
KISCO홀딩스,B,B,B,C,D,C,,,,철강금속
KPX케미칼,B,C,C,C,C,D,,,,화학
KPX홀딩스,B,C,B+,D,C,C,,,,화학
KR모터스,D,C,B,D,D,D,,,,운수장비
KSS해운,B+,A+,A,B+,A,B+,,,,운수창고업
KTcs,B+,A,A,B+,A,A,,,,서비스업
KTis,B+,A+,A,B+,B+,B+,,,,서비스업
LF,D,B,B+,D,B,B+,,,,섬유의복
LG,A,A+,A,B+,A+,A,,,,기타금융
LG디스플레이,B,A,B+,A,A,B+,,,,전기전자
LG생활건강,A,A+,A,A,A+,A,,,,화학
LG유플러스,A,A+,A,A,A,A,,,,통신업
LG이노텍,A,A+,A,A,A+,A,,,,전기전자
LG전자,A,A+,A,A,A+,A,,,,전기전자
LG헬로비전,C,A,A,B,A,A,,,,서비스업
LG화학,B+,A,B+,C,A,B+,,,,화학
LIG넥스원,A,A+,A,A,A+,A,,,,기계
LS,B+,A+,B+,B+,A,C,,,,기타금융
LS네트웍스,D,C,B,C,B+,B,,,,유통업
LS전선아시아,D,C,B+,D,D,B,,,,기타금융
LX세미콘,B,B+,B+,A,A+,B+,,,,반도체
LX인터내셔널,A,A+,A,B+,A,A,,,,유통업
LX하우시스,A,A+,A,B+,A,A,,,,화학
MH에탄올,B,D,B+,C,D,B,,,,음식료품
NAVER,A,A,A+,A,A,A,,,,서비스업
NH투자증권,A,A+,A,A,A,B+,,,,증권
NICE,B,A,B+,C,B+,B+,,,,서비스업
NI스틸,D,C,B,D,D,C,,,,철강금속
OCI,B+,A+,A,B+,A,A,,,,화학
S-Oil,B+,A+,A+,B,A+,A+,,,,화학
SBS,D,B+,B+,D,D,B+,,,,서비스업
SGC에너지,B+,A,B+,B+,A,B+,,,,전기가스업
SG글로벌,C,C,C,D,D,D,,,,운수장비
SG세계물산,D,B,C,D,D,D,,,,유통업
SHD,D,C,B,D,D,C,,,,철강금속
SH에너지화학,B,D,B+,C,D,B+,,,,화학
SIMPAC,B,B,B,D,C,D,,,,철강금속
SK,A+,A+,A+,A,A,A+,,,,기타금융
SKC,A,A+,B+,B+,A+,A,,,,화학
SK가스,A,A+,A,A,A+,A,,,,유통업
SK네트웍스,B+,A+,A,A,A+,B+,,,,유통업
SK디스커버리,A,A+,A,A,A+,B+,,,,기타금융
SK디앤디,A,A+,A,A,A,A,,,,서비스업
SK렌터카,B+,A+,B+,A,A,B+,,,,서비스업
SK바이오사이언스,-,-,-,A,A+,A,,,,의약품
SK이노베이션,A,A+,A+,B+,A+,A+,,,,화학
SK증권,C,A,B+,C,B+,B+,,,,증권
SK케미칼,A,A+,A,A+,A+,A,,,,화학
SK텔레콤,A,A+,A,A+,A+,A,,,,통신업
SK하이닉스,B+,A+,A,B+,A,B+,,,,전기전자
SNT모티브,C,B,B+,C,D,B,,,,운수장비
SNT에너지,B,B,B,D,C,C,,,,기계
SNT홀딩스,B,B,B+,C,C,B,,,,기타금융
SPC삼립,B,A,B+,C,B+,B,,,,음식료품
STX,D,B,B+,D,C,C,,,,유통업
STX엔진,B,B,B+,D,B,D,,,,기계
STX중공업,C,B,B+,D,B,B,,,,기계
SUN&L,B,B,B+,D,C,B,,,,종이목재
TCC스틸,B,C,B,C,C,C,,,,철강금속
TYM,B+,A+,B+,B,B+,B+,,,,기계
WISCOM,C,C,B+,D,D,B,,,,화학
YG PLUS,D,C,B,D,D,D,,,,서비스업
가온전선,B,B+,B+,C,B+,B+,,,,전기전자
강남제비스코,B,B,B+,C,B,B,,,,화학
강원랜드,B+,A,A,B+,A+,A,,,,서비스업
갤럭시아에스엠,D,D,B,D,D,D,,,,서비스업
경농,B,B,B,C,D,B,,,,화학
경동나비엔,B+,B+,B+,C,B,D,,,,전기전자
경동도시가스,B+,A,A,C,B+,B,,,,전기가스업
경동인베스트,B+,A,B+,C,B+,C,,,,기타금융
경방,C,C,B+,C,D,D,,,,유통업
경보제약,B+,A,B+,B,A,B+,,,,의약품
경인양행,C,B,B,B,B+,D,,,,화학
경인전자,D,C,B,D,D,D,,,,전기전자
계양전기,B,B+,B,C,B,D,,,,기계
고려산업,C,D,B,D,D,D,,,,음식료품
고려아연,B+,C,B+,B+,A,C,,,,철강금속
고려제강,B+,B,B+,C,C,D,,,,철강금속
광동제약,C,B+,B+,D,B,B,,,,의약품
광명전기,C,D,B,D,C,D,,,,전기전자
광전자,C,B,B+,D,D,C,,,,전기전자
광주신세계,B+,A,A,B+,A,B+,,,,유통업
교보증권,D,B+,B,B+,B+,B+,,,,증권
교촌에프앤비,-,-,-,D,C,B,,,,유통업
국도화학,B,C,B+,C,D,D,,,,화학
국동,D,B,B+,D,C,D,,,,유통업
국보,D,D,C,D,D,D,,,,운수창고업
국제약품,D,B,B+,D,C,B,,,,의약품
그린케미칼,B,C,B,D,D,D,,,,화학
극동유화,B,C,B,D,C,D,,,,화학
금강공업,C,C,B+,D,D,B,,,,철강금속
금비,C,C,B,D,D,D,,,,비금속광물
금양,D,C,B+,D,D,C,,,,화학
금호건설,C,D,C,C,B+,D,,,,건설업
금호에이치티,C,C,B,D,D,D,,,,운수장비
금호전기,C,B,B+,D,C,D,,,,전기전자
금호타이어,B+,A,B+,B,A,B,,,,화학
기신정기,D,C,B,D,D,D,,,,기계
기아,A+,A+,A,A,A,B,,,,운수장비
기업은행,A,A+,A,A+,A+,B+,,,,은행
