,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
CS홀딩스,서비스업,2013,233929444000.0,14.78,87.12,41.38,10.532971168437026,0.31,B이하,C,B이하,B이하,0.0
KISCO홀딩스,서비스업,2013,1377429174000.0,21.29,82.44,123.2,6.155381962094256,0.31,B이하,B,B이하,B이하,2753000.0
LG이노텍,전기전자,2013,4581270749000.0,247.88,28.75,16.85,0.0791371049763828,1.695,A,B+,A,A,0.0
MH에탄올,음식료품,2013,129697936000.0,182.66,35.38,4.07,0.13205576794315213,0.515,B이하,C,B이하,B이하,0.0
OCI,화학,2013,7302290651000.0,123.09,44.83,-8.17,0.012819333674393984,1.385,A,B+,A,A,0.0
SH에너지화학,화학,2013,110488951000.0,58.75,62.99,19.57,0.02589268182292936,1.7399999999999998,B이하,C,B이하,B이하,1664000.0
SIMPAC,기계,2013,361985890000.0,73.34,57.69,-8.7,0.05896775991551279,0.96,B이하,C,B이하,B이하,2161000.0
SK이노베이션,서비스업,2013,35288869208000.0,108.62,47.93,-9.08,0.923131946006448,1.255,B+,B,A,A,298278000.0
STX,유통업,2013,1342520000000.0,0.0,0.0,-60.24,0.06901037063147769,0.0,B+,B,B+,B+,0.0
STX엔진,기계,2013,1232540949000.0,0.0,0.0,-41.89,-0.007856205330992119,0.0,B+,B,B+,B+,0.0
STX중공업,기계,2013,1679370786000.0,1300.13,7.14,21.14,-0.4328430733745779,2.3,B이하,C,B+,B+,0.0
가온전선,전기전자,2013,539789322000.0,99.99,50.0,-10.79,0.021400114315783744,0.34,B이하,B,B이하,B이하,3927000.0
강원랜드,서비스업,2013,3102036846000.0,23.21,81.16,5.02,0.3127756285254837,2.825,B+,B+,A,B+,147999000.0
경농,화학,2013,255984725000.0,56.89,63.74,43.36,0.13332173919288695,0.505,B이하,C,B이하,B+,2161000.0
경동나비엔,전기전자,2013,354779867000.0,89.44,52.79,9.28,0.056277114431877204,1.31,B이하,C,B이하,B이하,1262000.0
경방,섬유의복,2013,1296989142000.0,103.79,49.07,4.07,0.19319277745466082,0.42000000000000004,B이하,B,B이하,B이하,623000.0
경인양행,화학,2013,316944796000.0,67.04,59.87,19.31,0.005716925076594559,0.8699999999999999,B이하,B,B이하,B이하,1943000.0
경인전자,전기전자,2013,66000530000.0,13.81,87.87,5.4,0.0895521768251842,0.47000000000000003,B이하,B,B이하,B이하,480000.0
계양전기,기계,2013,180806076000.0,21.2,82.51,5.44,0.049282380064669395,0.6699999999999999,B이하,B,B+,B이하,1707000.0
고려산업,음식료품,2013,148377505000.0,123.0,44.84,5.9,0.022536325989064007,1.675,B이하,C,B이하,B이하,603000.0
고려아연,철강금속,2013,5120964733000.0,18.21,84.59,-12.37,0.172207741866584,1.54,B이하,B,B이하,B+,88371000.0
고려제강,철강금속,2013,1823962847000.0,43.52,69.68,-3.4,0.1564899174849471,0.525,B이하,C,B이하,B+,5249000.0
광동제약,의약품,2013,425675174000.0,46.37,68.32,40.81,0.07358338485763248,1.3599999999999999,B이하,B,B이하,B이하,2876000.0
광명전기,전기전자,2013,120910764000.0,73.11,57.77,0.54,0.03463886921101567,1.965,B이하,B,B이하,B이하,0.0
광전자,전기전자,2013,269369303000.0,28.87,77.6,-3.42,0.10218379726276848,0.635,B이하,B,B이하,B이하,0.0
광주신세계,유통업,2013,656355808000.0,60.6,62.27,-3.37,0.2775195467723746,1.045,B이하,B,B+,B이하,2000000.0
교보증권,증권,2013,5204901997000.0,787.96,11.26,0.0,-0.10855663699804005,0.325,B이하,B,B이하,B이하,1734000.0
국도화학,화학,2013,590442007000.0,62.77,61.43,8.39,0.04887297074703352,0.8300000000000001,B이하,B,B이하,B+,5811000.0
국동,유통업,2013,73040609000.0,373.91,21.1,7.01,-0.025132569267416107,1.665,B이하,C,B이하,B이하,0.0
국보,운수창고업,2013,98315386000.0,230.27,30.28,-4.31,0.02577880433785346,0.63,B이하,C,B이하,B이하,50000.0
국제약품,의약품,2013,117430860000.0,101.33,49.67,-4.98,-0.039186352668332154,0.73,B이하,C,B이하,B이하,574000.0
극동유화,화학,2013,195573225000.0,72.28,58.04,-8.15,0.03936332001293919,0.74,B이하,B,B이하,B이하,2790000.0
금강공업,철강금속,2013,675454670000.0,162.48,38.1,76.49,0.1619319141226134,0.43,B이하,B,B이하,B이하,1571000.0
금양,화학,2013,147115126000.0,222.94,30.97,27.17,-0.1280390775871862,1.025,B이하,B,B이하,B이하,1512000.0
금호전기,전기전자,2013,532674472000.0,186.48,34.91,1.82,-0.12882483529426197,1.085,B이하,C,B이하,B이하,600000.0
금호타이어,화학,2013,4733932566000.0,315.91,24.04,-9.14,0.1624873098014348,1.42,B이하,B,B이하,B+,0.0
깨끗한나라,종이목재,2013,447017293000.0,150.63,39.9,2.22,0.03781156371488279,0.97,B이하,B,B이하,B+,0.0
남선알미늄,철강금속,2013,237576875000.0,235.43,29.81,14.53,0.04458327461450737,0.8799999999999999,B이하,C,B이하,B이하,0.0
남성,유통업,2013,200078722000.0,155.9,39.08,7.43,0.28930421346330437,0.375,B이하,C,B이하,B이하,372000.0
남양유업,음식료품,2013,975490562000.0,18.03,84.73,-9.9,-0.045975668094490225,1.07,B이하,B,B이하,B+,855000.0
남해화학,화학,2013,504051964000.0,42.27,70.29,-5.26,0.05339223858845274,1.04,B이하,C,B이하,B+,1841000.0
넥센,서비스업,2013,787194782000.0,32.67,75.38,33.21,0.10603864030461753,1.08,B이하,B,B이하,B이하,2732000.0
넥센타이어,화학,2013,2299812618000.0,188.56,34.66,1.62,0.15143294525594778,1.975,B이하,B,B이하,B+,6527000.0
노루페인트,화학,2013,528887786000.0,129.31,43.61,3.54,0.039609488803352834,0.505,B이하,C,B이하,B+,4095000.0
